char,tex,pos,size,pos_off,pos_add,offset
 ,0,"(0, 0)","(3, 3)","(6, 17)","(0, 13)",20
(,0,"(219, 19)","(7, 18)","(6, 17)","(0, 0)",20
),0,"(286, 72)","(7, 18)","(6, 17)","(0, 0)",20
/,0,"(90, 19)","(7, 18)","(6, 17)","(0, 0)",20
0,0,"(471, 355)","(12, 13)","(11, 17)","(0, 2)",20
1,0,"(502, 73)","(8, 13)","(11, 17)","(2, 2)",20
2,0,"(439, 368)","(11, 13)","(11, 17)","(0, 2)",20
3,0,"(102, 368)","(11, 13)","(11, 17)","(0, 2)",20
4,0,"(398, 355)","(13, 13)","(11, 17)","(0, 2)",20
5,0,"(244, 367)","(11, 13)","(11, 17)","(0, 2)",20
6,0,"(261, 357)","(11, 13)","(11, 17)","(0, 2)",20
7,0,"(484, 355)","(12, 13)","(11, 17)","(0, 2)",20
8,0,"(161, 368)","(11, 13)","(11, 17)","(0, 2)",20
9,0,"(173, 368)","(11, 13)","(11, 17)","(0, 2)",20
:,0,"(462, 109)","(6, 11)","(6, 17)","(0, 4)",20
<,0,"(444, 92)","(7, 9)","(6, 17)","(0, 4)",20
>,0,"(504, 305)","(7, 9)","(6, 17)","(0, 4)",20
?,0,"(78, 368)","(11, 13)","(10, 17)","(0, 2)",20
A,0,"(498, 339)","(13, 13)","(12, 17)","(0, 2)",20
B,0,"(497, 367)","(11, 13)","(10, 17)","(0, 2)",20
C,0,"(447, 145)","(13, 13)","(12, 17)","(0, 2)",20
D,0,"(31, 357)","(12, 13)","(10, 17)","(0, 2)",20
E,0,"(202, 361)","(11, 13)","(10, 17)","(0, 2)",20
F,0,"(149, 368)","(11, 13)","(10, 17)","(0, 2)",20
H,0,"(458, 355)","(12, 13)","(10, 17)","(0, 2)",20
I,0,"(506, 18)","(5, 13)","(6, 17)","(0, 2)",20
L,0,"(116, 357)","(11, 13)","(10, 17)","(0, 2)",20
M,0,"(498, 182)","(13, 13)","(12, 17)","(0, 2)",20
N,0,"(499, 323)","(12, 13)","(11, 17)","(0, 2)",20
O,0,"(498, 353)","(13, 13)","(12, 17)","(0, 2)",20
P,0,"(296, 367)","(11, 13)","(10, 17)","(0, 2)",20
R,0,"(231, 356)","(12, 13)","(11, 17)","(0, 2)",20
S,0,"(136, 356)","(12, 13)","(11, 17)","(0, 2)",20
T,0,"(282, 355)","(13, 13)","(12, 17)","(0, 2)",20
U,0,"(412, 355)","(12, 13)","(11, 17)","(0, 2)",20
Y,0,"(429, 128)","(13, 13)","(12, 17)","(0, 2)",20
　,0,"(0, 0)","(3, 3)","(8, 17)","(0, 13)",20
、,0,"(504, 315)","(7, 7)","(8, 17)","(0, 10)",20
。,0,"(361, 356)","(7, 7)","(8, 17)","(0, 10)",20
《,0,"(453, 56)","(10, 18)","(8, 17)","(0, 0)",20
》,0,"(264, 0)","(10, 18)","(8, 17)","(0, 0)",20
「,0,"(443, 36)","(7, 18)","(8, 17)","(2, 0)",20
」,0,"(275, 0)","(7, 18)","(8, 17)","(0, 0)",20
【,0,"(435, 36)","(7, 18)","(8, 17)","(2, 0)",20
】,0,"(210, 19)","(8, 18)","(8, 17)","(0, 0)",20
あ,0,"(306, 304)","(17, 16)","(16, 17)","(0, 1)",20
い,0,"(301, 338)","(16, 15)","(15, 17)","(0, 1)",20
う,0,"(34, 325)","(15, 16)","(14, 17)","(0, 1)",20
え,0,"(16, 273)","(17, 16)","(16, 17)","(0, 1)",20
お,0,"(270, 289)","(17, 16)","(16, 17)","(0, 1)",20
か,0,"(216, 199)","(17, 17)","(16, 17)","(0, 1)",20
が,0,"(475, 199)","(17, 17)","(16, 17)","(0, 0)",20
き,0,"(395, 322)","(16, 16)","(16, 17)","(0, 1)",20
ぎ,0,"(126, 219)","(17, 17)","(16, 17)","(0, 0)",20
く,0,"(393, 109)","(13, 16)","(13, 17)","(0, 1)",20
け,0,"(359, 305)","(17, 16)","(16, 17)","(0, 1)",20
げ,0,"(18, 201)","(17, 17)","(16, 17)","(0, 0)",20
こ,0,"(229, 340)","(15, 15)","(14, 17)","(0, 2)",20
ご,0,"(265, 341)","(16, 15)","(14, 17)","(0, 2)",20
さ,0,"(394, 272)","(17, 16)","(16, 17)","(0, 1)",20
し,0,"(431, 336)","(14, 16)","(13, 17)","(0, 1)",20
じ,0,"(85, 351)","(14, 16)","(13, 17)","(0, 1)",20
す,0,"(215, 288)","(17, 16)","(16, 17)","(0, 1)",20
ず,0,"(313, 75)","(18, 17)","(16, 17)","(0, 0)",20
せ,0,"(341, 304)","(17, 16)","(16, 17)","(0, 1)",20
そ,0,"(108, 271)","(17, 16)","(16, 17)","(0, 1)",20
た,0,"(234, 270)","(17, 16)","(16, 17)","(0, 1)",20
だ,0,"(318, 126)","(17, 17)","(16, 17)","(0, 0)",20
ち,0,"(126, 273)","(17, 16)","(16, 17)","(0, 1)",20
っ,0,"(301, 354)","(15, 12)","(15, 17)","(0, 4)",20
つ,0,"(446, 339)","(17, 13)","(16, 17)","(0, 3)",20
づ,0,"(413, 321)","(17, 16)","(16, 17)","(0, 0)",20
て,0,"(481, 323)","(17, 15)","(16, 17)","(0, 2)",20
で,0,"(51, 323)","(17, 15)","(16, 17)","(0, 2)",20
と,0,"(138, 339)","(14, 16)","(13, 17)","(0, 1)",20
ど,0,"(341, 321)","(15, 17)","(14, 17)","(0, 0)",20
な,0,"(216, 271)","(17, 16)","(16, 17)","(0, 1)",20
に,0,"(464, 339)","(16, 15)","(15, 17)","(0, 2)",20
ね,0,"(162, 273)","(17, 16)","(16, 17)","(0, 1)",20
の,0,"(50, 339)","(17, 15)","(16, 17)","(0, 2)",20
は,0,"(390, 339)","(17, 15)","(16, 17)","(0, 2)",20
ば,0,"(0, 182)","(17, 17)","(16, 17)","(0, 0)",20
ぱ,0,"(480, 127)","(17, 17)","(16, 17)","(0, 0)",20
ふ,0,"(179, 307)","(17, 15)","(16, 17)","(0, 2)",20
ぶ,0,"(251, 319)","(17, 15)","(16, 17)","(0, 2)",20
へ,0,"(170, 340)","(17, 12)","(16, 17)","(0, 3)",20
べ,0,"(413, 306)","(17, 14)","(16, 17)","(0, 2)",20
ほ,0,"(449, 305)","(17, 15)","(16, 17)","(0, 2)",20
ま,0,"(38, 57)","(16, 16)","(16, 17)","(0, 1)",20
み,0,"(69, 306)","(17, 15)","(16, 17)","(0, 2)",20
む,0,"(359, 271)","(17, 16)","(16, 17)","(0, 1)",20
め,0,"(359, 288)","(17, 16)","(16, 17)","(0, 1)",20
も,0,"(34, 273)","(17, 16)","(16, 17)","(0, 1)",20
ゅ,0,"(369, 340)","(15, 14)","(14, 17)","(0, 3)",20
ゆ,0,"(451, 288)","(17, 16)","(16, 17)","(0, 1)",20
