char,tex,pos,size,pos_off,pos_add,offset
〉,0,"(498, 57)","(9, 18)","(16, 17)","(0, 0)",20
《,0,"(406, 55)","(10, 18)","(16, 17)","(8, 0)",20
》,0,"(379, 56)","(10, 18)","(16, 17)","(0, 0)",20
「,2,"(470, 286)","(8, 16)","(16, 17)","(10, 0)",20
」,2,"(129, 270)","(8, 16)","(16, 17)","(0, 2)",20
『,2,"(348, 272)","(8, 16)","(16, 17)","(9, 0)",20
』,2,"(311, 271)","(9, 16)","(16, 17)","(0, 1)",20
【,0,"(504, 38)","(7, 18)","(16, 17)","(10, 0)",20
】,0,"(504, 131)","(7, 18)","(16, 17)","(0, 0)",20
ぁ,1,"(18, 414)","(15, 15)","(16, 17)","(1, 2)",20
あ,1,"(90, 378)","(17, 17)","(16, 17)","(0, 0)",20
ぃ,2,"(18, 88)","(14, 13)","(16, 17)","(2, 4)",20
い,2,"(122, 254)","(16, 15)","(16, 17)","(1, 1)",20
ぅ,2,"(14, 257)","(14, 15)","(16, 17)","(1, 3)",20
う,2,"(105, 107)","(15, 17)","(16, 17)","(1, 1)",20
ぇ,2,"(57, 257)","(15, 14)","(16, 17)","(2, 3)",20
え,0,"(216, 415)","(17, 17)","(16, 17)","(0, 1)",20
ぉ,2,"(313, 255)","(15, 15)","(16, 17)","(2, 2)",20
お,1,"(36, 288)","(17, 17)","(16, 17)","(0, 0)",20
か,1,"(414, 72)","(17, 17)","(16, 17)","(0, 0)",20
が,1,"(306, 270)","(17, 17)","(16, 17)","(0, 0)",20
き,1,"(244, 481)","(16, 17)","(16, 17)","(1, 0)",20
ぎ,1,"(90, 216)","(17, 17)","(16, 17)","(1, 0)",20
く,2,"(461, 105)","(12, 17)","(16, 17)","(2, 0)",20
ぐ,2,"(370, 34)","(15, 17)","(16, 17)","(2, 0)",20
け,2,"(266, 51)","(16, 17)","(16, 17)","(1, 0)",20
げ,0,"(410, 0)","(17, 18)","(16, 17)","(1, 0)",20
こ,1,"(157, 449)","(15, 14)","(16, 17)","(1, 2)",20
ご,2,"(407, 103)","(17, 16)","(16, 17)","(1, 0)",20
さ,2,"(442, 87)","(16, 17)","(16, 17)","(1, 0)",20
ざ,1,"(36, 180)","(17, 17)","(16, 17)","(1, 0)",20
し,2,"(294, 138)","(14, 17)","(16, 17)","(2, 0)",20
じ,2,"(224, 205)","(14, 17)","(16, 17)","(2, 0)",20
す,2,"(87, 122)","(16, 17)","(16, 17)","(1, 0)",20
ず,0,"(75, 0)","(17, 18)","(16, 17)","(0, 0)",20
せ,2,"(372, 68)","(17, 16)","(16, 17)","(0, 1)",20
ぜ,0,"(183, 0)","(18, 17)","(16, 17)","(0, 0)",20
そ,2,"(33, 172)","(16, 16)","(16, 17)","(1, 1)",20
ぞ,1,"(0, 414)","(17, 16)","(16, 17)","(0, 1)",20
た,2,"(394, 154)","(16, 16)","(16, 17)","(0, 0)",20
だ,0,"(108, 163)","(17, 17)","(16, 17)","(0, 0)",20
ち,2,"(354, 34)","(15, 17)","(16, 17)","(1, 0)",20
ぢ,1,"(18, 216)","(17, 17)","(16, 17)","(1, 0)",20
っ,1,"(229, 499)","(15, 12)","(16, 17)","(1, 4)",20
つ,2,"(489, 255)","(17, 14)","(16, 17)","(0, 2)",20
づ,2,"(121, 105)","(17, 16)","(16, 17)","(0, 0)",20
て,2,"(370, 223)","(16, 15)","(16, 17)","(0, 2)",20
で,1,"(386, 484)","(16, 15)","(16, 17)","(0, 2)",20
と,2,"(377, 188)","(15, 17)","(16, 17)","(1, 0)",20
ど,2,"(108, 0)","(16, 17)","(16, 17)","(1, 0)",20
な,1,"(432, 126)","(17, 17)","(16, 17)","(0, 0)",20
に,2,"(184, 221)","(15, 16)","(16, 17)","(1, 1)",20
ぬ,1,"(36, 342)","(17, 17)","(16, 17)","(0, 0)",20
ね,1,"(324, 216)","(17, 17)","(16, 17)","(0, 0)",20
の,2,"(444, 240)","(17, 15)","(16, 17)","(0, 1)",20
は,2,"(422, 139)","(16, 16)","(16, 17)","(1, 0)",20
ば,1,"(288, 144)","(17, 17)","(16, 17)","(1, 0)",20
ぱ,2,"(88, 104)","(16, 17)","(16, 17)","(1, 0)",20
ひ,2,"(176, 51)","(17, 16)","(16, 17)","(0, 1)",20
び,1,"(360, 54)","(17, 17)","(16, 17)","(0, 0)",20
ぴ,0,"(319, 0)","(18, 17)","(16, 17)","(0, 0)",20
ふ,1,"(334, 447)","(17, 16)","(16, 17)","(0, 1)",20
ぶ,0,"(415, 108)","(18, 16)","(16, 17)","(0, 1)",20
ぷ,0,"(396, 108)","(18, 16)","(16, 17)","(0, 1)",20
へ,2,"(358, 256)","(17, 13)","(16, 17)","(0, 3)",20
べ,2,"(294, 157)","(17, 15)","(16, 17)","(0, 1)",20
ぺ,2,"(352, 137)","(17, 15)","(16, 17)","(0, 1)",20
ほ,2,"(293, 190)","(16, 16)","(16, 17)","(1, 1)",20
ぼ,0,"(72, 163)","(17, 17)","(16, 17)","(1, 0)",20
ぽ,1,"(90, 144)","(17, 17)","(16, 17)","(1, 0)",20
ま,2,"(346, 170)","(15, 17)","(16, 17)","(1, 0)",20
み,2,"(0, 119)","(17, 16)","(16, 17)","(0, 1)",20
む,2,"(142, 18)","(16, 17)","(16, 17)","(0, 0)",20
め,0,"(270, 396)","(17, 17)","(16, 17)","(0, 0)",20
も,2,"(36, 103)","(16, 17)","(16, 17)","(1, 0)",20
ゃ,2,"(239, 242)","(15, 15)","(16, 17)","(1, 2)",20
や,1,"(324, 90)","(17, 17)","(16, 17)","(0, 0)",20
ゅ,2,"(221, 258)","(14, 15)","(16, 17)","(2, 2)",20
ゆ,2,"(266, 69)","(16, 17)","(16, 17)","(1, 0)",20
ょ,2,"(497, 36)","(14, 15)","(16, 17)","(2, 2)",20
よ,2,"(18, 52)","(16, 17)","(16, 17)","(0, 0)",20
ら,2,"(259, 191)","(15, 16)","(16, 17)","(1, 1)",20
り,2,"(32, 222)","(13, 17)","(16, 17)","(2, 1)",20
る,2,"(409, 191)","(15, 16)","(16, 17)","(1, 1)",20
れ,1,"(378, 126)","(17, 17)","(16, 17)","(0, 0)",20
ろ,2,"(370, 239)","(15, 16)","(16, 17)","(1, 1)",20
わ,1,"(139, 431)","(16, 17)","(16, 17)","(0, 0)",20
を,2,"(425, 87)","(16, 17)","(16, 17)","(1, 0)",20
ん,1,"(198, 0)","(17, 17)","(16, 17)","(0, 0)",20
ァ,2,"(73, 259)","(14, 13)","(16, 17)","(2, 4)",20
ア,2,"(474, 137)","(16, 16)","(16, 17)","(1, 2)",20
ィ,2,"(372, 52)","(13, 15)","(16, 17)","(2, 3)",20
イ,2,"(69, 153)","(14, 17)","(16, 17)","(1, 1)",20
ゥ,1,"(36, 431)","(13, 15)","(16, 17)","(2, 3)",20
ウ,1,"(388, 448)","(14, 17)","(16, 17)","(1, 0)",20
ェ,1,"(211, 484)","(14, 12)","(16, 17)","(2, 4)",20
エ,2,"(195, 36)","(16, 14)","(16, 17)","(0, 2)",20
ォ,2,"(329, 255)","(14, 15)","(16, 17)","(2, 3)",20
オ,1,"(386, 466)","(16, 17)","(16, 17)","(1, 0)",20
カ,1,"(297, 482)","(15, 17)","(16, 17)","(1, 0)",20
ガ,0,"(374, 0)","(17, 18)","(16, 17)","(1, 0)",20
キ,1,"(369, 465)","(16, 17)","(16, 17)","(1, 0)",20
ギ,0,"(356, 0)","(17, 18)","(16, 17)","(1, 0)",20
ク,2,"(105, 89)","(15, 17)","(16, 17)","(1, 0)",20
グ,0,"(338, 0)","(17, 18)","(16, 17)","(1, 0)",20
ケ,2,"(88, 68)","(16, 17)","(16, 17)","(1, 0)",20
ゲ,0,"(57, 0)","(17, 18)","(16, 17)","(1, 0)",20
コ,1,"(497, 396)","(14, 14)","(16, 17)","(2, 2)",20
ゴ,1,"(196, 378)","(16, 17)","(16, 17)","(2, 0)",20
サ,0,"(465, 184)","(17, 17)","(16, 17)","(0, 1)",20
ザ,0,"(38, 0)","(18, 18)","(16, 17)","(0, 0)",20
シ,2,"(67, 189)","(16, 16)","(16, 17)","(1, 1)",20
ジ,0,"(202, 0)","(17, 18)","(16, 17)","(1, 0)",20
ス,2,"(59, 240)","(15, 16)","(16, 17)","(1, 2)",20
ズ,0,"(129, 0)","(17, 18)","(16, 17)","(1, 0)",20
セ,2,"(191, 154)","(16, 16)","(16, 17)","(1, 0)",20
ゼ,1,"(144, 216)","(17, 17)","(16, 17)","(1, 0)",20
ソ,2,"(134, 203)","(15, 16)","(16, 17)","(1, 1)",20
ゾ,0,"(220, 0)","(17, 18)","(16, 17)","(1, 0)",20
タ,2,"(0, 170)","(15, 17)","(16, 17)","(1, 0)",20
ダ,0,"(93, 0)","(17, 18)","(16, 17)","(1, 0)",20
チ,2,"(277, 155)","(16, 16)","(16, 17)","(0, 1)",20
ヂ,2,"(281, 121)","(17, 16)","(16, 17)","(0, 1)",20
ッ,2,"(142, 53)","(14, 14)","(16, 17)","(2, 3)",20
ツ,2,"(34, 155)","(16, 16)","(16, 17)","(1, 1)",20
ヅ,0,"(238, 0)","(17, 18)","(16, 17)","(1, 0)",20
テ,2,"(388, 137)","(16, 16)","(16, 17)","(0, 2)",20
デ,0,"(111, 0)","(17, 18)","(16, 17)","(0, 0)",20
ト,1,"(336, 413)","(13, 17)","(16, 17)","(3, 0)",20
ド,1,"(161, 481)","(13, 17)","(16, 17)","(3, 0)",20
ナ,1,"(139, 413)","(16, 17)","(16, 17)","(1, 0)",20
ニ,1,"(104, 414)","(16, 13)","(16, 17)","(0, 3)",20
ヌ,2,"(131, 220)","(15, 16)","(16, 17)","(1, 2)",20
ネ,1,"(301, 395)","(16, 17)","(16, 17)","(1, 0)",20
ノ,2,"(415, 243)","(14, 16)","(16, 17)","(2, 1)",20
ハ,2,"(105, 241)","(16, 15)","(16, 17)","(1, 1)",20
バ,2,"(18, 0)","(17, 16)","(16, 17)","(1, 0)",20
パ,2,"(386, 51)","(17, 16)","(16, 17)","(1, 0)",20
ヒ,2,"(215, 223)","(14, 16)","(16, 17)","(2, 0)",20
ビ,1,"(230, 395)","(16, 17)","(16, 17)","(2, 0)",20
ピ,2,"(35, 138)","(16, 16)","(16, 17)","(2, 0)",20
フ,2,"(479, 188)","(15, 16)","(16, 17)","(1, 2)",20
ブ,0,"(147, 0)","(17, 18)","(16, 17)","(1, 0)",20
プ,1,"(378, 162)","(17, 17)","(16, 17)","(1, 0)",20
ヘ,1,"(143, 498)","(16, 13)","(16, 17)","(0, 2)",20
ベ,2,"(470, 239)","(16, 15)","(16, 17)","(0, 1)",20
ペ,2,"(266, 18)","(16, 15)","(16, 17)","(0, 1)",20
ホ,1,"(420, 465)","(16, 17)","(16, 17)","(0, 0)",20
ボ,0,"(165, 0)","(17, 18)","(16, 17)","(0, 0)",20
ポ,0,"(392, 0)","(17, 18)","(16, 17)","(0, 0)",20
マ,2,"(342, 205)","(16, 15)","(16, 17)","(1, 2)",20
ミ,2,"(444, 256)","(15, 15)","(16, 17)","(1, 1)",20
ム,2,"(293, 173)","(16, 16)","(16, 17)","(1, 0)",20
メ,1,"(210, 431)","(15, 17)","(16, 17)","(1, 0)",20
モ,2,"(269, 240)","(16, 15)","(16, 17)","(1, 2)",20
ャ,2,"(399, 259)","(14, 15)","(16, 17)","(1, 3)",20
ヤ,1,"(316, 463)","(16, 17)","(16, 17)","(1, 0)",20
ュ,1,"(160, 499)","(14, 12)","(16, 17)","(2, 4)",20
ユ,1,"(472, 497)","(16, 14)","(16, 17)","(1, 2)",20
ョ,1,"(143, 466)","(13, 12)","(16, 17)","(2, 4)",20
ヨ,2,"(42, 257)","(14, 15)","(16, 17)","(1, 2)",20
ラ,2,"(326, 204)","(15, 16)","(16, 17)","(1, 2)",20
リ,2,"(29, 257)","(12, 16)","(16, 17)","(2, 1)",20
ル,2,"(491, 137)","(16, 16)","(16, 17)","(1, 1)",20
レ,2,"(375, 206)","(14, 16)","(16, 17)","(2, 1)",20
ロ,2,"(236, 258)","(14, 14)","(16, 17)","(1, 2)",20
ワ,2,"(400, 242)","(14, 16)","(16, 17)","(2, 2)",20
ヲ,2,"(118, 190)","(15, 16)","(16, 17)","(1, 2)",20
ン,2,"(447, 188)","(15, 16)","(16, 17)","(1, 1)",20
ヴ,0,"(376, 164)","(16, 18)","(16, 17)","(1, 0)",20
・,0,"(506, 94)","(5, 5)","(16, 17)","(6, 6)",20
ー,0,"(396, 503)","(17, 4)","(16, 17)","(0, 6)",20
一,0,"(378, 503)","(17, 4)","(16, 17)","(0, 7)",20
丁,1,"(318, 412)","(17, 16)","(16, 17)","(0, 1)",20
七,0,"(90, 91)","(17, 17)","(16, 17)","(0, 0)",20
万,1,"(18, 431)","(17, 16)","(16, 17)","(0, 1)",20
丈,0,"(450, 144)","(17, 17)","(16, 17)","(0, 0)",20
三,1,"(211, 497)","(17, 14)","(16, 17)","(0, 2)",20
上,2,"(159, 0)","(17, 16)","(16, 17)","(0, 0)",20
下,2,"(72, 0)","(17, 16)","(16, 17)","(0, 1)",20
不,1,"(121, 448)","(17, 16)","(16, 17)","(0, 1)",20
与,0,"(358, 73)","(17, 17)","(16, 17)","(0, 0)",20
世,1,"(230, 378)","(17, 16)","(16, 17)","(0, 0)",20
両,1,"(193, 484)","(17, 16)","(16, 17)","(0, 1)",20
並,2,"(121, 71)","(17, 16)","(16, 17)","(0, 0)",20
中,1,"(280, 480)","(16, 17)","(16, 17)","(1, 0)",20
丸,0,"(378, 485)","(17, 17)","(16, 17)","(0, 0)",20
丹,0,"(234, 306)","(17, 17)","(16, 17)","(0, 1)",20
主,2,"(283, 0)","(17, 16)","(16, 17)","(0, 0)",20
久,0,"(396, 161)","(17, 17)","(16, 17)","(0, 0)",20
之,1,"(252, 252)","(17, 17)","(16, 17)","(0, 0)",20
乏,2,"(0, 34)","(17, 16)","(16, 17)","(0, 1)",20
乗,0,"(252, 288)","(17, 17)","(16, 17)","(0, 0)",20
乙,2,"(456, 141)","(16, 16)","(16, 17)","(1, 1)",20
九,0,"(180, 271)","(17, 17)","(16, 17)","(0, 0)",20
也,1,"(262, 463)","(17, 16)","(16, 17)","(0, 0)",20
乱,1,"(283, 395)","(17, 16)","(16, 17)","(0, 0)",20
乳,0,"(36, 109)","(17, 17)","(16, 17)","(0, 0)",20
乾,0,"(144, 145)","(17, 17)","(16, 17)","(0, 0)",20
亀,0,"(54, 271)","(17, 17)","(16, 17)","(0, 0)",20
了,2,"(391, 0)","(17, 16)","(16, 17)","(0, 1)",20
予,2,"(299, 87)","(17, 16)","(16, 17)","(0, 1)",20
争,0,"(270, 234)","(17, 17)","(16, 17)","(0, 0)",20
事,0,"(426, 54)","(17, 17)","(16, 17)","(0, 0)",20
二,1,"(489, 497)","(17, 13)","(16, 17)","(0, 2)",20
互,2,"(491, 52)","(17, 15)","(16, 17)","(0, 1)",20
五,2,"(32, 189)","(17, 15)","(16, 17)","(0, 1)",20
井,0,"(18, 91)","(17, 17)","(16, 17)","(0, 0)",20
亜,2,"(166, 207)","(17, 15)","(16, 17)","(0, 1)",20
亡,1,"(373, 378)","(17, 16)","(16, 17)","(0, 0)",20
交,0,"(306, 217)","(17, 17)","(16, 17)","(0, 0)",20
京,1,"(180, 54)","(17, 17)","(16, 17)","(0, 0)",20
亭,0,"(252, 126)","(17, 17)","(16, 17)","(0, 0)",20
人,1,"(486, 198)","(17, 17)","(16, 17)","(0, 0)",20
仁,1,"(198, 126)","(17, 17)","(16, 17)","(0, 0)",20
仇,1,"(414, 36)","(17, 17)","(16, 17)","(0, 0)",20
今,1,"(72, 180)","(17, 17)","(16, 17)","(0, 0)",20
介,0,"(234, 414)","(17, 17)","(16, 17)","(0, 0)",20
仏,0,"(90, 451)","(17, 17)","(16, 17)","(0, 0)",20
仔,1,"(288, 54)","(17, 17)","(16, 17)","(0, 0)",20
仕,0,"(198, 379)","(17, 17)","(16, 17)","(0, 0)",20
他,1,"(72, 144)","(17, 17)","(16, 17)","(0, 0)",20
付,0,"(144, 163)","(17, 17)","(16, 17)","(0, 0)",20
代,0,"(396, 233)","(17, 17)","(16, 17)","(0, 0)",20
令,0,"(486, 203)","(17, 17)","(16, 17)","(0, 0)",20
以,0,"(360, 417)","(17, 17)","(16, 17)","(0, 1)",20
仮,0,"(216, 217)","(17, 17)","(16, 17)","(0, 0)",20
仰,0,"(270, 198)","(17, 17)","(16, 17)","(0, 0)",20
仲,0,"(216, 73)","(17, 17)","(16, 17)","(0, 0)",20
件,0,"(108, 253)","(17, 17)","(16, 17)","(0, 0)",20
任,0,"(274, 18)","(17, 17)","(16, 17)","(0, 0)",20
企,1,"(107, 465)","(17, 16)","(16, 17)","(0, 0)",20
伊,0,"(342, 217)","(17, 17)","(16, 17)","(0, 0)",20
伏,0,"(325, 55)","(17, 17)","(16, 17)","(0, 0)",20
休,1,"(198, 108)","(17, 17)","(16, 17)","(0, 0)",20
会,0,"(486, 149)","(17, 17)","(16, 17)","(0, 0)",20
伝,0,"(306, 235)","(17, 17)","(16, 17)","(0, 0)",20
伯,0,"(54, 415)","(17, 17)","(16, 17)","(0, 0)",20
伸,1,"(198, 72)","(17, 17)","(16, 17)","(0, 0)",20
似,0,"(162, 307)","(17, 17)","(16, 17)","(0, 0)",20
但,1,"(36, 270)","(17, 17)","(16, 17)","(0, 0)",20
位,1,"(306, 342)","(17, 17)","(16, 17)","(0, 0)",20
低,0,"(0, 163)","(17, 17)","(16, 17)","(0, 0)",20
住,1,"(72, 216)","(17, 17)","(16, 17)","(0, 0)",20
佐,0,"(180, 325)","(17, 17)","(16, 17)","(0, 0)",20
佑,0,"(486, 311)","(17, 17)","(16, 17)","(0, 0)",20
体,0,"(432, 486)","(17, 17)","(16, 17)","(0, 0)",20
何,1,"(342, 18)","(17, 17)","(16, 17)","(0, 0)",20
余,0,"(36, 55)","(17, 17)","(16, 17)","(0, 0)",20
作,1,"(468, 18)","(17, 17)","(16, 17)","(0, 0)",20
佳,1,"(378, 0)","(17, 17)","(16, 17)","(0, 0)",20
使,1,"(72, 0)","(17, 17)","(16, 17)","(0, 0)",20
例,2,"(318, 52)","(16, 17)","(16, 17)","(0, 0)",20
供,0,"(162, 415)","(17, 17)","(16, 17)","(0, 0)",20
依,0,"(18, 325)","(17, 17)","(16, 17)","(0, 0)",20
価,0,"(288, 379)","(17, 17)","(16, 17)","(0, 0)",20
侮,1,"(270, 342)","(17, 17)","(16, 17)","(0, 0)",20
侵,1,"(486, 216)","(17, 17)","(16, 17)","(0, 0)",20
便,0,"(324, 343)","(17, 17)","(16, 17)","(0, 0)",20
係,1,"(18, 288)","(17, 17)","(16, 17)","(0, 0)",20
俊,0,"(408, 37)","(17, 17)","(16, 17)","(0, 0)",20
俗,1,"(126, 360)","(17, 17)","(16, 17)","(0, 0)",20
保,1,"(360, 360)","(17, 17)","(16, 17)","(0, 0)",20
信,1,"(396, 180)","(17, 17)","(16, 17)","(0, 0)",20
修,1,"(90, 180)","(17, 17)","(16, 17)","(0, 0)",20
俳,0,"(180, 163)","(17, 17)","(16, 17)","(0, 0)",20
倉,1,"(432, 324)","(17, 17)","(16, 17)","(0, 0)",20
個,1,"(468, 144)","(17, 17)","(16, 17)","(0, 0)",20
倍,0,"(468, 130)","(17, 17)","(16, 17)","(0, 0)",20
倒,0,"(144, 37)","(17, 17)","(16, 17)","(0, 0)",20
候,1,"(252, 234)","(17, 17)","(16, 17)","(0, 0)",20
借,0,"(108, 181)","(17, 17)","(16, 17)","(0, 0)",20
値,1,"(108, 90)","(17, 17)","(16, 17)","(0, 0)",20
倫,0,"(216, 379)","(17, 17)","(16, 17)","(0, 0)",20
倶,1,"(18, 270)","(17, 17)","(16, 17)","(0, 0)",20
偉,1,"(90, 288)","(17, 17)","(16, 17)","(0, 0)",20
偏,0,"(432, 144)","(17, 17)","(16, 17)","(0, 0)",20
停,1,"(144, 234)","(17, 17)","(16, 17)","(0, 0)",20
