char,tex,pos,size,pos_off,pos_add,offset
 ,0,"(508, 0)","(3, 3)","(7, 17)","(0, 13)",20
!,2,"(507, 154)","(4, 16)","(4, 17)","(0, 1)",20
"""",0,"(408, 81)","(7, 6)","(6, 17)","(0, 0)",20
#,2,"(314, 238)","(14, 16)","(14, 17)","(0, 1)",20
$,1,"(497, 378)","(12, 17)","(13, 17)","(1, 0)",20
%,2,"(405, 137)","(16, 16)","(15, 17)","(0, 1)",20
&,2,"(0, 205)","(15, 16)","(14, 17)","(1, 1)",20
',0,"(403, 97)","(4, 6)","(4, 17)","(0, 0)",20
(,0,"(292, 0)","(7, 18)","(6, 17)","(0, 0)",20
),0,"(500, 0)","(7, 18)","(6, 17)","(0, 0)",20
*,2,"(488, 285)","(11, 13)","(11, 17)","(0, 2)",20
+,2,"(242, 155)","(16, 16)","(16, 17)","(0, 1)",20
",",0,"(507, 76)","(4, 6)","(4, 17)","(0, 12)",20
-,0,"(396, 92)","(10, 4)","(10, 17)","(0, 8)",20
.,0,"(417, 60)","(5, 5)","(4, 17)","(0, 12)",20
/,0,"(381, 37)","(8, 18)","(7, 17)","(0, 1)",20
0,2,"(15, 240)","(14, 16)","(13, 17)","(0, 1)",20
1,2,"(290, 275)","(8, 16)","(13, 17)","(2, 1)",20
2,2,"(386, 240)","(13, 16)","(13, 17)","(0, 1)",20
3,2,"(343, 238)","(13, 16)","(13, 17)","(0, 1)",20
4,2,"(162, 240)","(14, 16)","(13, 17)","(0, 1)",20
5,2,"(441, 205)","(13, 16)","(13, 17)","(1, 1)",20
6,2,"(329, 238)","(13, 16)","(13, 17)","(0, 1)",20
7,2,"(387, 223)","(14, 16)","(13, 17)","(0, 1)",20
8,2,"(0, 222)","(14, 16)","(13, 17)","(0, 1)",20
9,2,"(255, 242)","(13, 16)","(13, 17)","(0, 1)",20
:,1,"(504, 32)","(4, 13)","(4, 17)","(0, 4)",20
;,2,"(203, 205)","(4, 14)","(4, 17)","(0, 4)",20
<,1,"(245, 499)","(11, 11)","(11, 17)","(0, 5)",20
=,0,"(376, 75)","(11, 7)","(11, 17)","(0, 7)",20
>,1,"(313, 499)","(11, 11)","(11, 17)","(0, 5)",20
?,2,"(300, 226)","(13, 16)","(12, 17)","(0, 1)",20
@,2,"(408, 17)","(16, 17)","(16, 17)","(0, 0)",20
A,2,"(208, 204)","(15, 16)","(14, 17)","(0, 1)",20
B,2,"(271, 223)","(14, 16)","(14, 17)","(1, 1)",20
C,2,"(321, 271)","(13, 16)","(13, 17)","(0, 1)",20
D,2,"(0, 239)","(14, 16)","(14, 17)","(1, 1)",20
E,2,"(476, 255)","(12, 16)","(12, 17)","(1, 1)",20
F,2,"(208, 257)","(12, 16)","(11, 17)","(1, 1)",20
G,2,"(200, 221)","(14, 16)","(14, 17)","(0, 1)",20
H,2,"(162, 223)","(14, 16)","(14, 17)","(1, 1)",20
I,2,"(503, 223)","(4, 16)","(4, 17)","(1, 1)",20
J,2,"(92, 227)","(12, 16)","(12, 17)","(0, 1)",20
K,2,"(402, 225)","(13, 16)","(12, 17)","(1, 1)",20
L,2,"(57, 272)","(11, 16)","(11, 17)","(1, 1)",20
M,2,"(101, 176)","(16, 16)","(16, 17)","(1, 1)",20
N,2,"(488, 221)","(14, 16)","(14, 17)","(1, 1)",20
O,2,"(306, 209)","(15, 16)","(15, 17)","(0, 1)",20
P,2,"(245, 225)","(13, 16)","(13, 17)","(1, 1)",20
Q,2,"(105, 71)","(15, 17)","(15, 17)","(0, 1)",20
R,2,"(430, 239)","(13, 16)","(13, 17)","(1, 1)",20
S,2,"(108, 36)","(14, 16)","(14, 17)","(0, 1)",20
T,2,"(193, 254)","(14, 16)","(13, 17)","(0, 1)",20
U,2,"(30, 240)","(14, 16)","(14, 17)","(1, 1)",20
V,2,"(16, 206)","(15, 16)","(14, 17)","(0, 1)",20
W,0,"(0, 20)","(18, 16)","(16, 17)","(0, 1)",20
X,2,"(84, 191)","(15, 16)","(14, 17)","(0, 1)",20
Y,2,"(408, 208)","(15, 16)","(14, 17)","(0, 1)",20
Z,2,"(357, 238)","(12, 16)","(11, 17)","(0, 1)",20
[,0,"(498, 94)","(7, 18)","(7, 17)","(1, 0)",20
\,0,"(390, 55)","(15, 18)","(16, 17)","(1, 0)",20
],0,"(500, 19)","(7, 18)","(7, 17)","(0, 0)",20
^,0,"(234, 163)","(8, 4)","(8, 17)","(0, 0)",20
_,0,"(376, 83)","(11, 4)","(8, 17)","(0, 14)",20
`,0,"(378, 183)","(8, 4)","(8, 17)","(0, 0)",20
a,2,"(69, 287)","(11, 13)","(12, 17)","(0, 4)",20
b,2,"(191, 271)","(12, 16)","(11, 17)","(1, 1)",20
c,2,"(138, 286)","(11, 13)","(10, 17)","(0, 4)",20
d,2,"(300, 243)","(12, 16)","(11, 17)","(0, 1)",20
e,2,"(0, 273)","(12, 13)","(12, 17)","(0, 4)",20
f,2,"(259, 225)","(9, 16)","(7, 17)","(0, 1)",20
g,2,"(489, 270)","(11, 14)","(12, 17)","(0, 4)",20
h,2,"(358, 270)","(11, 16)","(11, 17)","(1, 1)",20
i,2,"(507, 240)","(4, 16)","(4, 17)","(0, 1)",20
j,1,"(504, 0)","(5, 17)","(4, 17)","(0, 1)",20
k,2,"(25, 274)","(11, 16)","(10, 17)","(1, 1)",20
l,2,"(483, 272)","(4, 16)","(4, 17)","(1, 1)",20
m,1,"(333, 498)","(16, 13)","(16, 17)","(1, 4)",20
n,2,"(299, 275)","(11, 13)","(11, 17)","(1, 4)",20
o,2,"(470, 272)","(12, 13)","(12, 17)","(0, 4)",20
p,2,"(138, 271)","(12, 14)","(12, 17)","(1, 4)",20
q,2,"(444, 272)","(12, 14)","(12, 17)","(0, 4)",20
r,2,"(105, 227)","(9, 13)","(8, 17)","(1, 4)",20
s,2,"(264, 273)","(12, 13)","(11, 17)","(0, 4)",20
t,2,"(376, 256)","(9, 16)","(7, 17)","(0, 1)",20
u,1,"(89, 449)","(11, 13)","(11, 17)","(1, 4)",20
v,2,"(87, 278)","(12, 13)","(11, 17)","(0, 4)",20
w,1,"(86, 498)","(17, 13)","(16, 17)","(0, 4)",20
x,2,"(217, 274)","(12, 13)","(11, 17)","(0, 4)",20
y,2,"(101, 274)","(12, 14)","(11, 17)","(0, 4)",20
z,2,"(204, 274)","(12, 13)","(11, 17)","(0, 4)",20
{,0,"(498, 38)","(5, 18)","(5, 17)","(0, 0)",20
|,2,"(505, 205)","(4, 17)","(4, 17)","(1, 0)",20
},0,"(316, 72)","(5, 18)","(5, 17)","(0, 0)",20
~,0,"(234, 174)","(8, 4)","(8, 17)","(0, 0)",20
×,2,"(445, 158)","(16, 16)","(16, 17)","(1, 1)",20
é,0,"(180, 144)","(15, 18)","(16, 17)","(1, 0)",20
‐,0,"(417, 55)","(8, 4)","(16, 17)","(5, 8)",20
‘,0,"(507, 83)","(4, 6)","(16, 17)","(13, 0)",20
“,0,"(408, 74)","(7, 6)","(16, 17)","(10, 0)",20
”,0,"(292, 27)","(7, 6)","(16, 17)","(0, 0)",20
‥,0,"(234, 168)","(13, 5)","(16, 17)","(2, 6)",20
※,2,"(473, 154)","(16, 16)","(16, 17)","(1, 1)",20
→,1,"(279, 498)","(17, 10)","(16, 17)","(0, 3)",20
②,0,"(0, 0)","(18, 19)","(16, 17)","(0, 0)",20
■,2,"(242, 190)","(16, 16)","(16, 17)","(1, 1)",20
◎,0,"(482, 0)","(17, 17)","(16, 17)","(0, 0)",20
　,0,"(508, 4)","(3, 3)","(16, 17)","(0, 13)",20
、,0,"(396, 97)","(6, 6)","(16, 17)","(0, 11)",20
。,0,"(292, 19)","(7, 7)","(16, 17)","(0, 10)",20
々,2,"(70, 119)","(16, 16)","(16, 17)","(1, 1)",20
〈,0,"(306, 72)","(9, 18)","(16, 17)","(8, 0)",20
