char,tex,pos,size,pos_off,pos_add,offset
い,1,"(69, 0)","(14, 13)","(14, 14)","(1, 1)",20
え,0,"(71, 105)","(14, 14)","(14, 14)","(0, 1)",20
き,0,"(14, 76)","(14, 15)","(14, 14)","(0, 1)",20
く,1,"(41, 27)","(11, 14)","(14, 14)","(2, 1)",20
ぐ,1,"(95, 15)","(13, 14)","(14, 14)","(2, 1)",20
け,0,"(29, 104)","(14, 14)","(14, 14)","(0, 1)",20
さ,0,"(15, 104)","(14, 15)","(14, 14)","(0, 1)",20
し,1,"(69, 13)","(12, 14)","(14, 14)","(3, 1)",20
す,0,"(92, 30)","(15, 15)","(14, 14)","(0, 1)",20
つ,1,"(109, 14)","(15, 12)","(14, 14)","(0, 3)",20
で,1,"(13, 0)","(15, 13)","(14, 14)","(0, 2)",20
と,1,"(13, 27)","(12, 14)","(14, 14)","(1, 1)",20
ど,1,"(28, 0)","(13, 15)","(14, 14)","(1, 0)",20
に,1,"(41, 14)","(14, 13)","(14, 14)","(1, 2)",20
は,0,"(0, 91)","(15, 14)","(14, 14)","(0, 1)",20
ぶ,0,"(28, 76)","(15, 14)","(14, 14)","(0, 1)",20
べ,0,"(0, 105)","(15, 12)","(14, 14)","(0, 1)",20
め,0,"(103, 89)","(15, 14)","(14, 14)","(0, 1)",20
も,0,"(43, 105)","(14, 14)","(14, 14)","(0, 1)",20
や,0,"(91, 45)","(15, 15)","(14, 14)","(0, 1)",20
ゆ,0,"(104, 75)","(15, 14)","(14, 14)","(0, 1)",20
る,1,"(55, 14)","(14, 14)","(14, 14)","(0, 1)",20
わ,0,"(57, 90)","(15, 14)","(14, 14)","(0, 1)",20
を,0,"(75, 75)","(14, 15)","(14, 14)","(0, 1)",20
イ,1,"(0, 0)","(13, 14)","(14, 14)","(1, 1)",20
ウ,1,"(27, 15)","(14, 14)","(14, 14)","(1, 1)",20
キ,0,"(0, 76)","(14, 15)","(14, 14)","(1, 1)",20
ク,1,"(55, 0)","(14, 14)","(14, 14)","(1, 1)",20
グ,0,"(15, 46)","(15, 15)","(14, 14)","(1, 0)",20
コ,1,"(81, 15)","(14, 12)","(14, 14)","(1, 2)",20
ス,1,"(13, 13)","(14, 14)","(14, 14)","(0, 1)",20
セ,1,"(109, 0)","(14, 14)","(14, 14)","(1, 1)",20
タ,0,"(72, 90)","(14, 15)","(14, 14)","(1, 1)",20
ダ,0,"(46, 45)","(15, 15)","(14, 14)","(1, 0)",20
ッ,0,"(15, 91)","(13, 12)","(14, 14)","(1, 3)",20
ツ,0,"(28, 90)","(15, 14)","(14, 14)","(0, 1)",20
テ,1,"(41, 0)","(14, 14)","(14, 14)","(0, 1)",20
ト,1,"(83, 0)","(13, 15)","(14, 14)","(2, 1)",20
ド,1,"(96, 0)","(13, 15)","(14, 14)","(2, 1)",20
バ,0,"(107, 30)","(15, 15)","(14, 14)","(0, 0)",20
ャ,1,"(108, 26)","(13, 13)","(14, 14)","(1, 2)",20
ラ,0,"(43, 90)","(14, 15)","(14, 14)","(1, 1)",20
ル,0,"(31, 31)","(15, 15)","(14, 14)","(0, 1)",20
ロ,1,"(69, 27)","(14, 13)","(14, 14)","(1, 1)",20
ン,0,"(57, 104)","(14, 14)","(14, 14)","(1, 1)",20
ー,0,"(0, 117)","(14, 3)","(14, 14)","(1, 6)",20
一,0,"(29, 118)","(12, 3)","(14, 14)","(2, 6)",20
了,0,"(89, 89)","(14, 15)","(14, 14)","(1, 0)",20
