char,tex,pos,size,pos_off,pos_add,offset
E,0,"(435, 0)","(12, 16)","(12, 17)","(1, 1)",20
F,0,"(448, 0)","(12, 16)","(11, 17)","(1, 1)",20
G,0,"(461, 0)","(14, 16)","(14, 17)","(0, 1)",20
H,0,"(476, 0)","(14, 16)","(14, 17)","(1, 1)",20
I,0,"(491, 0)","(4, 16)","(4, 17)","(1, 1)",20
J,0,"(496, 0)","(12, 16)","(12, 17)","(0, 1)",20
K,0,"(0, 19)","(13, 16)","(12, 17)","(1, 1)",20
L,0,"(14, 19)","(11, 16)","(11, 17)","(1, 1)",20
M,0,"(26, 19)","(16, 16)","(16, 17)","(1, 1)",20
N,0,"(43, 19)","(14, 16)","(14, 17)","(1, 1)",20
O,0,"(58, 19)","(15, 16)","(15, 17)","(0, 1)",20
P,0,"(74, 19)","(13, 16)","(13, 17)","(1, 1)",20
Q,0,"(88, 19)","(15, 17)","(15, 17)","(0, 1)",20
R,0,"(104, 19)","(13, 16)","(13, 17)","(1, 1)",20
S,0,"(118, 19)","(14, 16)","(14, 17)","(0, 1)",20
T,0,"(133, 19)","(14, 16)","(13, 17)","(0, 1)",20
U,0,"(148, 19)","(14, 16)","(14, 17)","(1, 1)",20
V,0,"(163, 19)","(15, 16)","(14, 17)","(0, 1)",20
W,0,"(179, 19)","(18, 16)","(16, 17)","(0, 1)",20
X,0,"(198, 19)","(15, 16)","(14, 17)","(0, 1)",20
Y,0,"(214, 19)","(15, 16)","(14, 17)","(0, 1)",20
Z,0,"(230, 19)","(12, 16)","(11, 17)","(0, 1)",20
[,0,"(243, 19)","(7, 18)","(7, 17)","(1, 0)",20
\,0,"(251, 19)","(15, 18)","(16, 17)","(1, 0)",20
],0,"(267, 19)","(7, 18)","(7, 17)","(0, 0)",20
^,0,"(275, 19)","(8, 4)","(8, 17)","(0, 0)",20
_,0,"(284, 19)","(11, 4)","(8, 17)","(0, 14)",20
`,0,"(296, 19)","(8, 4)","(8, 17)","(0, 0)",20
a,0,"(305, 19)","(11, 13)","(12, 17)","(0, 4)",20
b,0,"(317, 19)","(12, 16)","(11, 17)","(1, 1)",20
c,0,"(330, 19)","(11, 13)","(10, 17)","(0, 4)",20
d,0,"(342, 19)","(12, 16)","(11, 17)","(0, 1)",20
e,0,"(355, 19)","(12, 13)","(12, 17)","(0, 4)",20
f,0,"(368, 19)","(9, 16)","(7, 17)","(0, 1)",20
g,0,"(378, 19)","(11, 14)","(12, 17)","(0, 4)",20
h,0,"(390, 19)","(11, 16)","(11, 17)","(1, 1)",20
i,0,"(402, 19)","(4, 16)","(4, 17)","(0, 1)",20
j,0,"(407, 19)","(5, 17)","(4, 17)","(0, 1)",20
k,0,"(413, 19)","(11, 16)","(10, 17)","(1, 1)",20
l,0,"(425, 19)","(4, 16)","(4, 17)","(1, 1)",20
m,0,"(430, 19)","(16, 13)","(16, 17)","(1, 4)",20
n,0,"(447, 19)","(11, 13)","(11, 17)","(1, 4)",20
o,0,"(459, 19)","(12, 13)","(12, 17)","(0, 4)",20
p,0,"(472, 19)","(12, 14)","(12, 17)","(1, 4)",20
q,0,"(485, 19)","(12, 14)","(12, 17)","(0, 4)",20
r,0,"(498, 19)","(9, 13)","(8, 17)","(1, 4)",20
s,0,"(0, 38)","(12, 13)","(11, 17)","(0, 4)",20
t,0,"(13, 38)","(9, 16)","(7, 17)","(0, 1)",20
u,0,"(23, 38)","(11, 13)","(11, 17)","(1, 4)",20
v,0,"(35, 38)","(12, 13)","(11, 17)","(0, 4)",20
w,0,"(48, 38)","(17, 13)","(16, 17)","(0, 4)",20
x,0,"(66, 38)","(12, 13)","(11, 17)","(0, 4)",20
y,0,"(79, 38)","(12, 14)","(11, 17)","(0, 4)",20
z,0,"(92, 38)","(12, 13)","(11, 17)","(0, 4)",20
{,0,"(105, 38)","(5, 18)","(5, 17)","(0, 0)",20
|,0,"(111, 38)","(4, 17)","(4, 17)","(1, 0)",20
},0,"(116, 38)","(5, 18)","(5, 17)","(0, 0)",20
~,0,"(122, 38)","(8, 4)","(8, 17)","(0, 0)",20
×,0,"(131, 38)","(16, 16)","(16, 17)","(1, 1)",20
é,0,"(148, 38)","(15, 18)","(16, 17)","(1, 0)",20
‐,0,"(164, 38)","(8, 4)","(16, 17)","(5, 8)",20
—,0,"(173, 38)","(17, 17)","(16, 17)","(0, 0)",20
‘,0,"(191, 38)","(4, 6)","(16, 17)","(13, 0)",20
“,0,"(196, 38)","(7, 6)","(16, 17)","(10, 0)",20
”,0,"(204, 38)","(7, 6)","(16, 17)","(0, 0)",20
‥,0,"(212, 38)","(13, 5)","(16, 17)","(2, 6)",20
…,0,"(226, 38)","(17, 17)","(16, 17)","(0, 0)",20
※,0,"(244, 38)","(16, 16)","(16, 17)","(1, 1)",20
→,0,"(261, 38)","(17, 10)","(16, 17)","(0, 3)",20
②,0,"(279, 38)","(18, 19)","(16, 17)","(0, 0)",20
■,0,"(298, 38)","(16, 16)","(16, 17)","(1, 1)",20
◎,0,"(315, 38)","(17, 17)","(16, 17)","(0, 0)",20
　,0,"(333, 38)","(3, 3)","(16, 17)","(0, 13)",20
、,0,"(337, 38)","(6, 6)","(16, 17)","(0, 11)",20
。,0,"(344, 38)","(7, 7)","(16, 17)","(0, 10)",20
々,0,"(352, 38)","(16, 16)","(16, 17)","(1, 1)",20
〈,0,"(369, 38)","(9, 18)","(16, 17)","(8, 0)",20
〉,0,"(379, 38)","(9, 18)","(16, 17)","(0, 0)",20
《,0,"(389, 38)","(10, 18)","(16, 17)","(8, 0)",20
》,0,"(400, 38)","(10, 18)","(16, 17)","(0, 0)",20
「,0,"(411, 38)","(8, 16)","(16, 17)","(10, 0)",20
」,0,"(420, 38)","(8, 16)","(16, 17)","(0, 2)",20
『,0,"(429, 38)","(8, 16)","(16, 17)","(9, 0)",20
』,0,"(438, 38)","(9, 16)","(16, 17)","(0, 1)",20
【,0,"(448, 38)","(7, 18)","(16, 17)","(10, 0)",20
】,0,"(456, 38)","(7, 18)","(16, 17)","(0, 0)",20
ぁ,0,"(464, 38)","(15, 15)","(16, 17)","(1, 2)",20
あ,0,"(480, 38)","(17, 17)","(16, 17)","(0, 0)",20
ぃ,0,"(0, 58)","(14, 13)","(16, 17)","(2, 4)",20
い,0,"(15, 58)","(16, 15)","(16, 17)","(1, 1)",20
ぅ,0,"(32, 58)","(14, 15)","(16, 17)","(1, 3)",20
う,0,"(47, 58)","(15, 17)","(16, 17)","(1, 1)",20
ぇ,0,"(63, 58)","(15, 14)","(16, 17)","(2, 3)",20
え,0,"(79, 58)","(17, 17)","(16, 17)","(0, 1)",20
ぉ,0,"(97, 58)","(15, 15)","(16, 17)","(2, 2)",20
お,0,"(113, 58)","(17, 17)","(16, 17)","(0, 0)",20
か,0,"(131, 58)","(17, 17)","(16, 17)","(0, 0)",20
が,0,"(149, 58)","(17, 17)","(16, 17)","(0, 0)",20
き,0,"(167, 58)","(16, 17)","(16, 17)","(1, 0)",20
ぎ,0,"(184, 58)","(17, 17)","(16, 17)","(1, 0)",20
く,0,"(202, 58)","(12, 17)","(16, 17)","(2, 0)",20
ぐ,0,"(215, 58)","(15, 17)","(16, 17)","(2, 0)",20
け,0,"(231, 58)","(16, 17)","(16, 17)","(1, 0)",20
げ,0,"(248, 58)","(17, 18)","(16, 17)","(1, 0)",20
こ,0,"(266, 58)","(15, 14)","(16, 17)","(1, 2)",20
ご,0,"(282, 58)","(17, 16)","(16, 17)","(1, 0)",20
さ,0,"(300, 58)","(16, 17)","(16, 17)","(1, 0)",20
ざ,0,"(317, 58)","(17, 17)","(16, 17)","(1, 0)",20
し,0,"(335, 58)","(14, 17)","(16, 17)","(2, 0)",20
じ,0,"(350, 58)","(14, 17)","(16, 17)","(2, 0)",20
す,0,"(365, 58)","(16, 17)","(16, 17)","(1, 0)",20
ず,0,"(382, 58)","(17, 18)","(16, 17)","(0, 0)",20
せ,0,"(400, 58)","(17, 16)","(16, 17)","(0, 1)",20
ぜ,0,"(418, 58)","(18, 17)","(16, 17)","(0, 0)",20
そ,0,"(437, 58)","(16, 16)","(16, 17)","(1, 1)",20
ぞ,0,"(454, 58)","(17, 16)","(16, 17)","(0, 1)",20
た,0,"(472, 58)","(16, 16)","(16, 17)","(0, 0)",20
だ,0,"(489, 58)","(17, 17)","(16, 17)","(0, 0)",20
ち,0,"(0, 77)","(15, 17)","(16, 17)","(1, 0)",20
ぢ,0,"(16, 77)","(17, 17)","(16, 17)","(1, 0)",20
っ,0,"(34, 77)","(15, 12)","(16, 17)","(1, 4)",20
つ,0,"(50, 77)","(17, 14)","(16, 17)","(0, 2)",20
づ,0,"(68, 77)","(17, 16)","(16, 17)","(0, 0)",20
て,0,"(86, 77)","(16, 15)","(16, 17)","(0, 2)",20
で,0,"(103, 77)","(16, 15)","(16, 17)","(0, 2)",20
と,0,"(120, 77)","(15, 17)","(16, 17)","(1, 0)",20
ど,0,"(136, 77)","(16, 17)","(16, 17)","(1, 0)",20
な,0,"(153, 77)","(17, 17)","(16, 17)","(0, 0)",20
に,0,"(171, 77)","(15, 16)","(16, 17)","(1, 1)",20
ぬ,0,"(187, 77)","(17, 17)","(16, 17)","(0, 0)",20
ね,0,"(205, 77)","(17, 17)","(16, 17)","(0, 0)",20
の,0,"(223, 77)","(17, 15)","(16, 17)","(0, 1)",20
は,0,"(241, 77)","(16, 16)","(16, 17)","(1, 0)",20
ば,0,"(258, 77)","(17, 17)","(16, 17)","(1, 0)",20
ぱ,0,"(276, 77)","(16, 17)","(16, 17)","(1, 0)",20
ひ,0,"(293, 77)","(17, 16)","(16, 17)","(0, 1)",20
び,0,"(311, 77)","(17, 17)","(16, 17)","(0, 0)",20
ぴ,0,"(329, 77)","(18, 17)","(16, 17)","(0, 0)",20
ふ,0,"(348, 77)","(17, 16)","(16, 17)","(0, 1)",20
ぶ,0,"(366, 77)","(18, 16)","(16, 17)","(0, 1)",20
ぷ,0,"(385, 77)","(18, 16)","(16, 17)","(0, 1)",20
へ,0,"(404, 77)","(17, 13)","(16, 17)","(0, 3)",20
べ,0,"(422, 77)","(17, 15)","(16, 17)","(0, 1)",20
ぺ,0,"(440, 77)","(17, 15)","(16, 17)","(0, 1)",20
ほ,0,"(458, 77)","(16, 16)","(16, 17)","(1, 1)",20
ぼ,0,"(475, 77)","(17, 17)","(16, 17)","(1, 0)",20
ぽ,0,"(493, 77)","(17, 17)","(16, 17)","(1, 0)",20
ま,0,"(0, 95)","(15, 17)","(16, 17)","(1, 0)",20
み,0,"(16, 95)","(17, 16)","(16, 17)","(0, 1)",20
む,0,"(34, 95)","(16, 17)","(16, 17)","(0, 0)",20
め,0,"(51, 95)","(17, 17)","(16, 17)","(0, 0)",20
も,0,"(69, 95)","(16, 17)","(16, 17)","(1, 0)",20
ゃ,0,"(86, 95)","(15, 15)","(16, 17)","(1, 2)",20
や,0,"(102, 95)","(17, 17)","(16, 17)","(0, 0)",20
ゅ,0,"(120, 95)","(14, 15)","(16, 17)","(2, 2)",20
ゆ,0,"(135, 95)","(16, 17)","(16, 17)","(1, 0)",20
ょ,0,"(152, 95)","(14, 15)","(16, 17)","(2, 2)",20
よ,0,"(167, 95)","(16, 17)","(16, 17)","(0, 0)",20
ら,0,"(184, 95)","(15, 16)","(16, 17)","(1, 1)",20
り,0,"(200, 95)","(13, 17)","(16, 17)","(2, 1)",20
る,0,"(214, 95)","(15, 16)","(16, 17)","(1, 1)",20
れ,0,"(230, 95)","(17, 17)","(16, 17)","(0, 0)",20
ろ,0,"(248, 95)","(15, 16)","(16, 17)","(1, 1)",20
わ,0,"(264, 95)","(16, 17)","(16, 17)","(0, 0)",20
を,0,"(281, 95)","(16, 17)","(16, 17)","(1, 0)",20
ん,0,"(298, 95)","(17, 17)","(16, 17)","(0, 0)",20
ァ,0,"(316, 95)","(14, 13)","(16, 17)","(2, 4)",20
ア,0,"(331, 95)","(16, 16)","(16, 17)","(1, 2)",20
ィ,0,"(348, 95)","(13, 15)","(16, 17)","(2, 3)",20
イ,0,"(362, 95)","(14, 17)","(16, 17)","(1, 1)",20
ゥ,0,"(377, 95)","(13, 15)","(16, 17)","(2, 3)",20
ウ,0,"(391, 95)","(14, 17)","(16, 17)","(1, 0)",20
ェ,0,"(406, 95)","(14, 12)","(16, 17)","(2, 4)",20
エ,0,"(421, 95)","(16, 14)","(16, 17)","(0, 2)",20
ォ,0,"(438, 95)","(14, 15)","(16, 17)","(2, 3)",20
オ,0,"(453, 95)","(16, 17)","(16, 17)","(1, 0)",20
カ,0,"(470, 95)","(15, 17)","(16, 17)","(1, 0)",20
ガ,0,"(486, 95)","(17, 18)","(16, 17)","(1, 0)",20
キ,0,"(0, 114)","(16, 17)","(16, 17)","(1, 0)",20
ギ,0,"(17, 114)","(17, 18)","(16, 17)","(1, 0)",20
ク,0,"(35, 114)","(15, 17)","(16, 17)","(1, 0)",20
グ,0,"(51, 114)","(17, 18)","(16, 17)","(1, 0)",20
ケ,0,"(69, 114)","(16, 17)","(16, 17)","(1, 0)",20
ゲ,0,"(86, 114)","(17, 18)","(16, 17)","(1, 0)",20
コ,0,"(104, 114)","(14, 14)","(16, 17)","(2, 2)",20
ゴ,0,"(119, 114)","(16, 17)","(16, 17)","(2, 0)",20
サ,0,"(136, 114)","(17, 17)","(16, 17)","(0, 1)",20
ザ,0,"(154, 114)","(18, 18)","(16, 17)","(0, 0)",20
シ,0,"(173, 114)","(16, 16)","(16, 17)","(1, 1)",20
ジ,0,"(190, 114)","(17, 18)","(16, 17)","(1, 0)",20
ス,0,"(208, 114)","(15, 16)","(16, 17)","(1, 2)",20
ズ,0,"(224, 114)","(17, 18)","(16, 17)","(1, 0)",20
セ,0,"(242, 114)","(16, 16)","(16, 17)","(1, 0)",20
ゼ,0,"(259, 114)","(17, 17)","(16, 17)","(1, 0)",20
ソ,0,"(277, 114)","(15, 16)","(16, 17)","(1, 1)",20
ゾ,0,"(293, 114)","(17, 18)","(16, 17)","(1, 0)",20
タ,0,"(311, 114)","(15, 17)","(16, 17)","(1, 0)",20
ダ,0,"(327, 114)","(17, 18)","(16, 17)","(1, 0)",20
チ,0,"(345, 114)","(16, 16)","(16, 17)","(0, 1)",20
ヂ,0,"(362, 114)","(17, 16)","(16, 17)","(0, 1)",20
ッ,0,"(380, 114)","(14, 14)","(16, 17)","(2, 3)",20
ツ,0,"(395, 114)","(16, 16)","(16, 17)","(1, 1)",20
ヅ,0,"(412, 114)","(17, 18)","(16, 17)","(1, 0)",20
テ,0,"(430, 114)","(16, 16)","(16, 17)","(0, 2)",20
デ,0,"(447, 114)","(17, 18)","(16, 17)","(0, 0)",20
ト,0,"(465, 114)","(13, 17)","(16, 17)","(3, 0)",20
ド,0,"(479, 114)","(13, 17)","(16, 17)","(3, 0)",20
ナ,0,"(493, 114)","(16, 17)","(16, 17)","(1, 0)",20
ニ,0,"(0, 133)","(16, 13)","(16, 17)","(0, 3)",20
ヌ,0,"(17, 133)","(15, 16)","(16, 17)","(1, 2)",20
ネ,0,"(33, 133)","(16, 17)","(16, 17)","(1, 0)",20
ノ,0,"(50, 133)","(14, 16)","(16, 17)","(2, 1)",20
ハ,0,"(65, 133)","(16, 15)","(16, 17)","(1, 1)",20
バ,0,"(82, 133)","(17, 16)","(16, 17)","(1, 0)",20
パ,0,"(100, 133)","(17, 16)","(16, 17)","(1, 0)",20
ヒ,0,"(118, 133)","(14, 16)","(16, 17)","(2, 0)",20
ビ,0,"(133, 133)","(16, 17)","(16, 17)","(2, 0)",20
ピ,0,"(150, 133)","(16, 16)","(16, 17)","(2, 0)",20
フ,0,"(167, 133)","(15, 16)","(16, 17)","(1, 2)",20
ブ,0,"(183, 133)","(17, 18)","(16, 17)","(1, 0)",20
プ,0,"(201, 133)","(17, 17)","(16, 17)","(1, 0)",20
ヘ,0,"(219, 133)","(16, 13)","(16, 17)","(0, 2)",20
ベ,0,"(236, 133)","(16, 15)","(16, 17)","(0, 1)",20
ペ,0,"(253, 133)","(16, 15)","(16, 17)","(0, 1)",20
ホ,0,"(270, 133)","(16, 17)","(16, 17)","(0, 0)",20
ボ,0,"(287, 133)","(17, 18)","(16, 17)","(0, 0)",20
ポ,0,"(305, 133)","(17, 18)","(16, 17)","(0, 0)",20
マ,0,"(323, 133)","(16, 15)","(16, 17)","(1, 2)",20
ミ,0,"(340, 133)","(15, 15)","(16, 17)","(1, 1)",20
ム,0,"(356, 133)","(16, 16)","(16, 17)","(1, 0)",20
メ,0,"(373, 133)","(15, 17)","(16, 17)","(1, 0)",20
モ,0,"(389, 133)","(16, 15)","(16, 17)","(1, 2)",20
ャ,0,"(406, 133)","(14, 15)","(16, 17)","(1, 3)",20
ヤ,0,"(421, 133)","(16, 17)","(16, 17)","(1, 0)",20
ュ,0,"(438, 133)","(14, 12)","(16, 17)","(2, 4)",20
ユ,0,"(453, 133)","(16, 14)","(16, 17)","(1, 2)",20
ョ,0,"(470, 133)","(13, 12)","(16, 17)","(2, 4)",20
ヨ,0,"(484, 133)","(14, 15)","(16, 17)","(1, 2)",20
ラ,0,"(0, 152)","(15, 16)","(16, 17)","(1, 2)",20
リ,0,"(16, 152)","(12, 16)","(16, 17)","(2, 1)",20
ル,0,"(29, 152)","(16, 16)","(16, 17)","(1, 1)",20
レ,0,"(46, 152)","(14, 16)","(16, 17)","(2, 1)",20
ロ,0,"(61, 152)","(14, 14)","(16, 17)","(1, 2)",20
ワ,0,"(76, 152)","(14, 16)","(16, 17)","(2, 2)",20
ヲ,0,"(91, 152)","(15, 16)","(16, 17)","(1, 2)",20
ン,0,"(107, 152)","(15, 16)","(16, 17)","(1, 1)",20
ヴ,0,"(123, 152)","(16, 18)","(16, 17)","(1, 0)",20
・,0,"(140, 152)","(5, 5)","(16, 17)","(6, 6)",20
ー,0,"(146, 152)","(17, 4)","(16, 17)","(0, 6)",20
一,0,"(164, 152)","(17, 17)","(16, 17)","(0, 0)",20
丁,0,"(182, 152)","(17, 17)","(16, 17)","(0, 0)",20
七,0,"(200, 152)","(17, 17)","(16, 17)","(0, 0)",20
万,0,"(218, 152)","(17, 17)","(16, 17)","(0, 0)",20
丈,0,"(236, 152)","(17, 17)","(16, 17)","(0, 0)",20
三,0,"(254, 152)","(17, 17)","(16, 17)","(0, 0)",20
上,0,"(272, 152)","(17, 17)","(16, 17)","(0, 0)",20
下,0,"(290, 152)","(17, 17)","(16, 17)","(0, 0)",20
不,0,"(308, 152)","(17, 17)","(16, 17)","(0, 0)",20
与,0,"(326, 152)","(17, 17)","(16, 17)","(0, 0)",20
丑,0,"(344, 152)","(17, 17)","(16, 17)","(0, 0)",20
专,0,"(362, 152)","(17, 17)","(16, 17)","(0, 0)",20
且,0,"(380, 152)","(17, 17)","(16, 17)","(0, 0)",20
世,0,"(398, 152)","(17, 17)","(16, 17)","(0, 0)",20
业,0,"(416, 152)","(17, 17)","(16, 17)","(0, 0)",20
东,0,"(434, 152)","(17, 17)","(16, 17)","(0, 0)",20
丝,0,"(452, 152)","(17, 17)","(16, 17)","(0, 0)",20
両,0,"(470, 152)","(17, 17)","(16, 17)","(0, 0)",20
丢,0,"(488, 152)","(17, 17)","(16, 17)","(0, 0)",20
两,0,"(0, 171)","(17, 17)","(16, 17)","(0, 0)",20
严,0,"(18, 171)","(17, 17)","(16, 17)","(0, 0)",20
並,0,"(36, 171)","(17, 17)","(16, 17)","(0, 0)",20
丧,0,"(54, 171)","(17, 17)","(16, 17)","(0, 0)",20
个,0,"(72, 171)","(17, 17)","(16, 17)","(0, 0)",20
丫,0,"(90, 171)","(17, 17)","(16, 17)","(0, 0)",20
中,0,"(108, 171)","(17, 17)","(16, 17)","(0, 0)",20
丰,0,"(126, 171)","(17, 17)","(16, 17)","(0, 0)",20
串,0,"(144, 171)","(17, 17)","(16, 17)","(0, 0)",20
临,0,"(162, 171)","(17, 17)","(16, 17)","(0, 0)",20
为,0,"(180, 171)","(17, 17)","(16, 17)","(0, 0)",20
主,0,"(198, 171)","(17, 17)","(16, 17)","(0, 0)",20
丽,0,"(216, 171)","(17, 17)","(16, 17)","(0, 0)",20
举,0,"(234, 171)","(17, 17)","(16, 17)","(0, 0)",20
乃,0,"(252, 171)","(17, 17)","(16, 17)","(0, 0)",20
久,0,"(270, 171)","(17, 17)","(16, 17)","(0, 0)",20
么,0,"(288, 171)","(17, 17)","(16, 17)","(0, 0)",20
义,0,"(306, 171)","(17, 17)","(16, 17)","(0, 0)",20
之,0,"(324, 171)","(17, 17)","(16, 17)","(0, 0)",20
乌,0,"(342, 171)","(17, 17)","(16, 17)","(0, 0)",20
乍,0,"(360, 171)","(17, 17)","(16, 17)","(0, 0)",20
乎,0,"(378, 171)","(17, 17)","(16, 17)","(0, 0)",20
乏,0,"(396, 171)","(17, 17)","(16, 17)","(0, 0)",20
乐,0,"(414, 171)","(17, 17)","(16, 17)","(0, 0)",20
乖,0,"(432, 171)","(17, 17)","(16, 17)","(0, 0)",20
乗,0,"(450, 171)","(17, 17)","(16, 17)","(0, 0)",20
乘,0,"(468, 171)","(17, 17)","(16, 17)","(0, 0)",20
九,0,"(486, 171)","(17, 17)","(16, 17)","(0, 0)",20
乞,0,"(0, 189)","(17, 17)","(16, 17)","(0, 0)",20
也,0,"(18, 189)","(17, 17)","(16, 17)","(0, 0)",20
习,0,"(36, 189)","(17, 17)","(16, 17)","(0, 0)",20
乡,0,"(54, 189)","(17, 17)","(16, 17)","(0, 0)",20
书,0,"(72, 189)","(17, 17)","(16, 17)","(0, 0)",20
买,0,"(90, 189)","(17, 17)","(16, 17)","(0, 0)",20
乱,0,"(108, 189)","(17, 17)","(16, 17)","(0, 0)",20
了,0,"(126, 189)","(17, 17)","(16, 17)","(0, 0)",20
予,0,"(144, 189)","(17, 17)","(16, 17)","(0, 0)",20
争,0,"(162, 189)","(17, 17)","(16, 17)","(0, 0)",20
事,0,"(180, 189)","(17, 17)","(16, 17)","(0, 0)",20
二,0,"(198, 189)","(17, 17)","(16, 17)","(0, 0)",20
于,0,"(216, 189)","(17, 17)","(16, 17)","(0, 0)",20
亏,0,"(234, 189)","(17, 17)","(16, 17)","(0, 0)",20
云,0,"(252, 189)","(17, 17)","(16, 17)","(0, 0)",20
互,0,"(270, 189)","(17, 17)","(16, 17)","(0, 0)",20
五,0,"(288, 189)","(17, 17)","(16, 17)","(0, 0)",20
亘,0,"(306, 189)","(17, 17)","(16, 17)","(0, 0)",20
亚,0,"(324, 189)","(17, 17)","(16, 17)","(0, 0)",20
些,0,"(342, 189)","(17, 17)","(16, 17)","(0, 0)",20
亜,0,"(360, 189)","(17, 17)","(16, 17)","(0, 0)",20
亡,0,"(378, 189)","(17, 17)","(16, 17)","(0, 0)",20
亢,0,"(396, 189)","(17, 17)","(16, 17)","(0, 0)",20
交,0,"(414, 189)","(17, 17)","(16, 17)","(0, 0)",20
产,0,"(432, 189)","(17, 17)","(16, 17)","(0, 0)",20
亨,0,"(450, 189)","(17, 17)","(16, 17)","(0, 0)",20
享,0,"(468, 189)","(17, 17)","(16, 17)","(0, 0)",20
京,0,"(486, 189)","(17, 17)","(16, 17)","(0, 0)",20
亭,0,"(0, 207)","(17, 17)","(16, 17)","(0, 0)",20
亮,0,"(18, 207)","(17, 17)","(16, 17)","(0, 0)",20
亲,0,"(36, 207)","(17, 17)","(16, 17)","(0, 0)",20
亵,0,"(54, 207)","(17, 17)","(16, 17)","(0, 0)",20
人,0,"(72, 207)","(17, 17)","(16, 17)","(0, 0)",20
什,0,"(90, 207)","(17, 17)","(16, 17)","(0, 0)",20
仁,0,"(108, 207)","(17, 17)","(16, 17)","(0, 0)",20
仅,0,"(126, 207)","(17, 17)","(16, 17)","(0, 0)",20
仆,0,"(144, 207)","(17, 17)","(16, 17)","(0, 0)",20
仇,0,"(162, 207)","(17, 17)","(16, 17)","(0, 0)",20
今,0,"(180, 207)","(17, 17)","(16, 17)","(0, 0)",20
介,0,"(198, 207)","(17, 17)","(16, 17)","(0, 0)",20
从,0,"(216, 207)","(17, 17)","(16, 17)","(0, 0)",20
仓,0,"(234, 207)","(17, 17)","(16, 17)","(0, 0)",20
仔,0,"(252, 207)","(17, 17)","(16, 17)","(0, 0)",20
仕,0,"(270, 207)","(17, 17)","(16, 17)","(0, 0)",20
他,0,"(288, 207)","(17, 17)","(16, 17)","(0, 0)",20
付,0,"(306, 207)","(17, 17)","(16, 17)","(0, 0)",20
代,0,"(324, 207)","(17, 17)","(16, 17)","(0, 0)",20
令,0,"(342, 207)","(17, 17)","(16, 17)","(0, 0)",20
以,0,"(360, 207)","(17, 17)","(16, 17)","(0, 0)",20
仪,0,"(378, 207)","(17, 17)","(16, 17)","(0, 0)",20
们,0,"(396, 207)","(17, 17)","(16, 17)","(0, 0)",20
仮,0,"(414, 207)","(17, 17)","(16, 17)","(0, 0)",20
仰,0,"(432, 207)","(17, 17)","(16, 17)","(0, 0)",20
仲,0,"(450, 207)","(17, 17)","(16, 17)","(0, 0)",20
件,0,"(468, 207)","(17, 17)","(16, 17)","(0, 0)",20
价,0,"(486, 207)","(17, 17)","(16, 17)","(0, 0)",20
任,0,"(0, 225)","(17, 17)","(16, 17)","(0, 0)",20
