char,tex,pos,size,pos_off,pos_add,offset
 ,0,"(0, 0)","(3, 3)","(7, 17)","(0, 13)",20
!,0,"(4, 0)","(4, 16)","(4, 17)","(0, 1)",20
"""",0,"(9, 0)","(7, 6)","(6, 17)","(0, 0)",20
#,0,"(17, 0)","(14, 16)","(14, 17)","(0, 1)",20
$,0,"(32, 0)","(12, 17)","(13, 17)","(1, 0)",20
%,0,"(45, 0)","(16, 16)","(15, 17)","(0, 1)",20
&,0,"(62, 0)","(15, 16)","(14, 17)","(1, 1)",20
',0,"(78, 0)","(4, 6)","(4, 17)","(0, 0)",20
(,0,"(83, 0)","(7, 18)","(6, 17)","(0, 0)",20
),0,"(91, 0)","(7, 18)","(6, 17)","(0, 0)",20
*,0,"(99, 0)","(11, 13)","(11, 17)","(0, 2)",20
+,0,"(111, 0)","(16, 16)","(16, 17)","(0, 1)",20
",",0,"(128, 0)","(4, 6)","(4, 17)","(0, 12)",20
-,0,"(133, 0)","(10, 4)","(10, 17)","(0, 8)",20
.,0,"(144, 0)","(5, 5)","(4, 17)","(0, 12)",20
/,0,"(150, 0)","(8, 18)","(7, 17)","(0, 1)",20
0,0,"(159, 0)","(14, 16)","(13, 17)","(0, 1)",20
1,0,"(174, 0)","(8, 16)","(13, 17)","(2, 1)",20
2,0,"(183, 0)","(13, 16)","(13, 17)","(0, 1)",20
3,0,"(197, 0)","(13, 16)","(13, 17)","(0, 1)",20
4,0,"(211, 0)","(14, 16)","(13, 17)","(0, 1)",20
5,0,"(226, 0)","(13, 16)","(13, 17)","(1, 1)",20
6,0,"(240, 0)","(13, 16)","(13, 17)","(0, 1)",20
7,0,"(254, 0)","(14, 16)","(13, 17)","(0, 1)",20
8,0,"(269, 0)","(14, 16)","(13, 17)","(0, 1)",20
9,0,"(284, 0)","(13, 16)","(13, 17)","(0, 1)",20
:,0,"(298, 0)","(4, 13)","(4, 17)","(0, 4)",20
;,0,"(303, 0)","(4, 14)","(4, 17)","(0, 4)",20
<,0,"(308, 0)","(11, 11)","(11, 17)","(0, 5)",20
=,0,"(320, 0)","(11, 7)","(11, 17)","(0, 7)",20
>,0,"(332, 0)","(11, 11)","(11, 17)","(0, 5)",20
?,0,"(344, 0)","(13, 16)","(12, 17)","(0, 1)",20
@,0,"(358, 0)","(16, 17)","(16, 17)","(0, 0)",20
A,0,"(375, 0)","(15, 16)","(14, 17)","(0, 1)",20
B,0,"(391, 0)","(14, 16)","(14, 17)","(1, 1)",20
C,0,"(406, 0)","(13, 16)","(13, 17)","(0, 1)",20
D,0,"(420, 0)","(14, 16)","(14, 17)","(1, 1)",20
