char,tex,pos,size,pos_off,pos_add,offset
ン,0,"(34, 110)","(16, 16)","(16, 17)","(0, 0)",20
ヴ,0,"(51, 110)","(17, 17)","(15, 17)","(0, 255)",20
・,0,"(69, 110)","(7, 8)","(8, 17)","(1, 6)",20
ー,0,"(77, 110)","(15, 4)","(14, 17)","(0, 7)",20
一,0,"(93, 110)","(17, 17)","(16, 17)","(0, 0)",20
三,0,"(111, 110)","(17, 17)","(16, 17)","(0, 0)",20
上,0,"(129, 110)","(17, 17)","(16, 17)","(0, 0)",20
下,0,"(147, 110)","(17, 17)","(16, 17)","(0, 0)",20
不,0,"(165, 110)","(17, 17)","(16, 17)","(0, 0)",20
与,0,"(183, 110)","(17, 17)","(16, 17)","(0, 0)",20
世,0,"(201, 110)","(17, 17)","(16, 17)","(0, 0)",20
东,0,"(219, 110)","(17, 17)","(16, 17)","(0, 0)",20
丝,0,"(237, 110)","(17, 17)","(16, 17)","(0, 0)",20
两,0,"(255, 110)","(17, 17)","(16, 17)","(0, 0)",20
个,0,"(273, 110)","(17, 17)","(16, 17)","(0, 0)",20
中,0,"(291, 110)","(17, 17)","(16, 17)","(0, 0)",20
为,0,"(309, 110)","(17, 17)","(16, 17)","(0, 0)",20
丽,0,"(327, 110)","(17, 17)","(16, 17)","(0, 0)",20
举,0,"(345, 110)","(17, 17)","(16, 17)","(0, 0)",20
义,0,"(363, 110)","(17, 17)","(16, 17)","(0, 0)",20
之,0,"(381, 110)","(17, 17)","(16, 17)","(0, 0)",20
书,0,"(399, 110)","(17, 17)","(16, 17)","(0, 0)",20
买,0,"(417, 110)","(17, 17)","(16, 17)","(0, 0)",20
了,0,"(435, 110)","(17, 17)","(16, 17)","(0, 0)",20
事,0,"(453, 110)","(17, 17)","(16, 17)","(0, 0)",20
二,0,"(471, 110)","(17, 17)","(16, 17)","(0, 0)",20
于,0,"(489, 110)","(17, 17)","(16, 17)","(0, 0)",20
亚,0,"(0, 128)","(17, 17)","(16, 17)","(0, 0)",20
亜,0,"(18, 128)","(17, 17)","(16, 17)","(0, 0)",20
亡,0,"(36, 128)","(17, 17)","(16, 17)","(0, 0)",20
人,0,"(54, 128)","(17, 17)","(16, 17)","(0, 0)",20
仁,0,"(72, 128)","(17, 17)","(16, 17)","(0, 0)",20
仆,0,"(90, 128)","(17, 17)","(16, 17)","(0, 0)",20
介,0,"(108, 128)","(17, 17)","(16, 17)","(0, 0)",20
从,0,"(126, 128)","(17, 17)","(16, 17)","(0, 0)",20
他,0,"(144, 128)","(17, 17)","(16, 17)","(0, 0)",20
以,0,"(162, 128)","(17, 17)","(16, 17)","(0, 0)",20
件,0,"(180, 128)","(17, 17)","(16, 17)","(0, 0)",20
价,0,"(198, 128)","(17, 17)","(16, 17)","(0, 0)",20
份,0,"(216, 128)","(17, 17)","(16, 17)","(0, 0)",20
伊,0,"(234, 128)","(17, 17)","(16, 17)","(0, 0)",20
休,0,"(252, 128)","(17, 17)","(16, 17)","(0, 0)",20
会,0,"(270, 128)","(17, 17)","(16, 17)","(0, 0)",20
传,0,"(288, 128)","(17, 17)","(16, 17)","(0, 0)",20
伦,0,"(306, 128)","(17, 17)","(16, 17)","(0, 0)",20
位,0,"(324, 128)","(17, 17)","(16, 17)","(0, 0)",20
体,0,"(342, 128)","(17, 17)","(16, 17)","(0, 0)",20
佛,0,"(360, 128)","(17, 17)","(16, 17)","(0, 0)",20
佩,0,"(378, 128)","(17, 17)","(16, 17)","(0, 0)",20
侦,0,"(396, 128)","(17, 17)","(16, 17)","(0, 0)",20
保,0,"(414, 128)","(17, 17)","(16, 17)","(0, 0)",20
信,0,"(432, 128)","(17, 17)","(16, 17)","(0, 0)",20
倒,0,"(450, 128)","(17, 17)","(16, 17)","(0, 0)",20
候,0,"(468, 128)","(17, 17)","(16, 17)","(0, 0)",20
假,0,"(486, 128)","(17, 17)","(16, 17)","(0, 0)",20
偶,0,"(0, 146)","(17, 17)","(16, 17)","(0, 0)",20
像,0,"(18, 146)","(17, 17)","(16, 17)","(0, 0)",20
克,0,"(36, 146)","(17, 17)","(16, 17)","(0, 0)",20
公,0,"(54, 146)","(17, 17)","(16, 17)","(0, 0)",20
共,0,"(72, 146)","(17, 17)","(16, 17)","(0, 0)",20
关,0,"(90, 146)","(17, 17)","(16, 17)","(0, 0)",20
具,0,"(108, 146)","(17, 17)","(16, 17)","(0, 0)",20
兹,0,"(126, 146)","(17, 17)","(16, 17)","(0, 0)",20
内,0,"(144, 146)","(17, 17)","(16, 17)","(0, 0)",20
冒,0,"(162, 146)","(17, 17)","(16, 17)","(0, 0)",20
冰,0,"(180, 146)","(17, 17)","(16, 17)","(0, 0)",20
况,0,"(198, 146)","(17, 17)","(16, 17)","(0, 0)",20
凯,0,"(216, 146)","(17, 17)","(16, 17)","(0, 0)",20
凶,0,"(234, 146)","(17, 17)","(16, 17)","(0, 0)",20
刀,0,"(252, 146)","(17, 17)","(16, 17)","(0, 0)",20
切,0,"(270, 146)","(17, 17)","(16, 17)","(0, 0)",20
刑,0,"(288, 146)","(17, 17)","(16, 17)","(0, 0)",20
删,0,"(306, 146)","(17, 17)","(16, 17)","(0, 0)",20
判,0,"(324, 146)","(17, 17)","(16, 17)","(0, 0)",20
利,0,"(342, 146)","(17, 17)","(16, 17)","(0, 0)",20
别,0,"(360, 146)","(17, 17)","(16, 17)","(0, 0)",20
到,0,"(378, 146)","(17, 17)","(16, 17)","(0, 0)",20
刺,0,"(396, 146)","(17, 17)","(16, 17)","(0, 0)",20
剂,0,"(414, 146)","(17, 17)","(16, 17)","(0, 0)",20
前,0,"(432, 146)","(17, 17)","(16, 17)","(0, 0)",20
剖,0,"(450, 146)","(17, 17)","(16, 17)","(0, 0)",20
剧,0,"(468, 146)","(17, 17)","(16, 17)","(0, 0)",20
力,0,"(486, 146)","(17, 17)","(16, 17)","(0, 0)",20
办,0,"(0, 164)","(17, 17)","(16, 17)","(0, 0)",20
功,0,"(18, 164)","(17, 17)","(16, 17)","(0, 0)",20
加,0,"(36, 164)","(17, 17)","(16, 17)","(0, 0)",20
动,0,"(54, 164)","(17, 17)","(16, 17)","(0, 0)",20
包,0,"(72, 164)","(17, 17)","(16, 17)","(0, 0)",20
化,0,"(90, 164)","(17, 17)","(16, 17)","(0, 0)",20
匙,0,"(108, 164)","(17, 17)","(16, 17)","(0, 0)",20
医,0,"(126, 164)","(17, 17)","(16, 17)","(0, 0)",20
十,0,"(144, 164)","(17, 17)","(16, 17)","(0, 0)",20
半,0,"(162, 164)","(17, 17)","(16, 17)","(0, 0)",20
华,0,"(180, 164)","(17, 17)","(16, 17)","(0, 0)",20
卖,0,"(198, 164)","(17, 17)","(16, 17)","(0, 0)",20
博,0,"(216, 164)","(17, 17)","(16, 17)","(0, 0)",20
卡,0,"(234, 164)","(17, 17)","(16, 17)","(0, 0)",20
印,0,"(252, 164)","(17, 17)","(16, 17)","(0, 0)",20
厄,0,"(270, 164)","(17, 17)","(16, 17)","(0, 0)",20
去,0,"(288, 164)","(17, 17)","(16, 17)","(0, 0)",20
叉,0,"(306, 164)","(17, 17)","(16, 17)","(0, 0)",20
双,0,"(324, 164)","(17, 17)","(16, 17)","(0, 0)",20
反,0,"(342, 164)","(17, 17)","(16, 17)","(0, 0)",20
发,0,"(360, 164)","(17, 17)","(16, 17)","(0, 0)",20
叔,0,"(378, 164)","(17, 17)","(16, 17)","(0, 0)",20
另,0,"(396, 164)","(17, 17)","(16, 17)","(0, 0)",20
可,0,"(414, 164)","(17, 17)","(16, 17)","(0, 0)",20
台,0,"(432, 164)","(17, 17)","(16, 17)","(0, 0)",20
叶,0,"(450, 164)","(17, 17)","(16, 17)","(0, 0)",20
号,0,"(468, 164)","(17, 17)","(16, 17)","(0, 0)",20
合,0,"(486, 164)","(17, 17)","(16, 17)","(0, 0)",20
吉,0,"(0, 182)","(17, 17)","(16, 17)","(0, 0)",20
同,0,"(18, 182)","(17, 17)","(16, 17)","(0, 0)",20
名,0,"(36, 182)","(17, 17)","(16, 17)","(0, 0)",20
后,0,"(54, 182)","(17, 17)","(16, 17)","(0, 0)",20
吾,0,"(72, 182)","(17, 17)","(16, 17)","(0, 0)",20
告,0,"(90, 182)","(17, 17)","(16, 17)","(0, 0)",20
员,0,"(108, 182)","(17, 17)","(16, 17)","(0, 0)",20
咖,0,"(126, 182)","(17, 17)","(16, 17)","(0, 0)",20
哈,0,"(144, 182)","(17, 17)","(16, 17)","(0, 0)",20
唯,0,"(162, 182)","(17, 17)","(16, 17)","(0, 0)",20
啡,0,"(180, 182)","(17, 17)","(16, 17)","(0, 0)",20
器,0,"(198, 182)","(17, 17)","(16, 17)","(0, 0)",20
囚,0,"(216, 182)","(17, 17)","(16, 17)","(0, 0)",20
回,0,"(234, 182)","(17, 17)","(16, 17)","(0, 0)",20
因,0,"(252, 182)","(17, 17)","(16, 17)","(0, 0)",20
国,0,"(270, 182)","(17, 17)","(16, 17)","(0, 0)",20
图,0,"(288, 182)","(17, 17)","(16, 17)","(0, 0)",20
土,0,"(306, 182)","(17, 17)","(16, 17)","(0, 0)",20
在,0,"(324, 182)","(17, 17)","(16, 17)","(0, 0)",20
地,0,"(342, 182)","(17, 17)","(16, 17)","(0, 0)",20
场,0,"(360, 182)","(17, 17)","(16, 17)","(0, 0)",20
圾,0,"(378, 182)","(17, 17)","(16, 17)","(0, 0)",20
坏,0,"(396, 182)","(17, 17)","(16, 17)","(0, 0)",20
坦,0,"(414, 182)","(17, 17)","(16, 17)","(0, 0)",20
垃,0,"(432, 182)","(17, 17)","(16, 17)","(0, 0)",20
埃,0,"(450, 182)","(17, 17)","(16, 17)","(0, 0)",20
基,0,"(468, 182)","(17, 17)","(16, 17)","(0, 0)",20
堂,0,"(486, 182)","(17, 17)","(16, 17)","(0, 0)",20
報,0,"(0, 200)","(17, 17)","(16, 17)","(0, 0)",20
塔,0,"(18, 200)","(17, 17)","(16, 17)","(0, 0)",20
墓,0,"(36, 200)","(17, 17)","(16, 17)","(0, 0)",20
墙,0,"(54, 200)","(17, 17)","(16, 17)","(0, 0)",20
士,0,"(72, 200)","(17, 17)","(16, 17)","(0, 0)",20
壮,0,"(90, 200)","(17, 17)","(16, 17)","(0, 0)",20
声,0,"(108, 200)","(17, 17)","(16, 17)","(0, 0)",20
处,0,"(126, 200)","(17, 17)","(16, 17)","(0, 0)",20
备,0,"(144, 200)","(17, 17)","(16, 17)","(0, 0)",20
夏,0,"(162, 200)","(17, 17)","(16, 17)","(0, 0)",20
多,0,"(180, 200)","(17, 17)","(16, 17)","(0, 0)",20
夜,0,"(198, 200)","(17, 17)","(16, 17)","(0, 0)",20
大,0,"(216, 200)","(17, 17)","(16, 17)","(0, 0)",20
天,0,"(234, 200)","(17, 17)","(16, 17)","(0, 0)",20
太,0,"(252, 200)","(17, 17)","(16, 17)","(0, 0)",20
夫,0,"(270, 200)","(17, 17)","(16, 17)","(0, 0)",20
央,0,"(288, 200)","(17, 17)","(16, 17)","(0, 0)",20
失,0,"(306, 200)","(17, 17)","(16, 17)","(0, 0)",20
头,0,"(324, 200)","(17, 17)","(16, 17)","(0, 0)",20
奇,0,"(342, 200)","(17, 17)","(16, 17)","(0, 0)",20
奈,0,"(360, 200)","(17, 17)","(16, 17)","(0, 0)",20
奖,0,"(378, 200)","(17, 17)","(16, 17)","(0, 0)",20
奥,0,"(396, 200)","(17, 17)","(16, 17)","(0, 0)",20
女,0,"(414, 200)","(17, 17)","(16, 17)","(0, 0)",20
妮,0,"(432, 200)","(17, 17)","(16, 17)","(0, 0)",20
姆,0,"(450, 200)","(17, 17)","(16, 17)","(0, 0)",20
始,0,"(468, 200)","(17, 17)","(16, 17)","(0, 0)",20
委,0,"(486, 200)","(17, 17)","(16, 17)","(0, 0)",20
威,0,"(0, 218)","(17, 17)","(16, 17)","(0, 0)",20
娅,0,"(18, 218)","(17, 17)","(16, 17)","(0, 0)",20
娜,0,"(36, 218)","(17, 17)","(16, 17)","(0, 0)",20
子,0,"(54, 218)","(17, 17)","(16, 17)","(0, 0)",20
字,0,"(72, 218)","(17, 17)","(16, 17)","(0, 0)",20
存,0,"(90, 218)","(17, 17)","(16, 17)","(0, 0)",20
学,0,"(108, 218)","(17, 17)","(16, 17)","(0, 0)",20
宁,0,"(126, 218)","(17, 17)","(16, 17)","(0, 0)",20
安,0,"(144, 218)","(17, 17)","(16, 17)","(0, 0)",20
完,0,"(162, 218)","(17, 17)","(16, 17)","(0, 0)",20
官,0,"(180, 218)","(17, 17)","(16, 17)","(0, 0)",20
定,0,"(198, 218)","(17, 17)","(16, 17)","(0, 0)",20
实,0,"(216, 218)","(17, 17)","(16, 17)","(0, 0)",20
审,0,"(234, 218)","(17, 17)","(16, 17)","(0, 0)",20
客,0,"(252, 218)","(17, 17)","(16, 17)","(0, 0)",20
室,0,"(270, 218)","(17, 17)","(16, 17)","(0, 0)",20
害,0,"(288, 218)","(17, 17)","(16, 17)","(0, 0)",20
家,0,"(306, 218)","(17, 17)","(16, 17)","(0, 0)",20
密,0,"(324, 218)","(17, 17)","(16, 17)","(0, 0)",20
寓,0,"(342, 218)","(17, 17)","(16, 17)","(0, 0)",20
察,0,"(360, 218)","(17, 17)","(16, 17)","(0, 0)",20
对,0,"(378, 218)","(17, 17)","(16, 17)","(0, 0)",20
寻,0,"(396, 218)","(17, 17)","(16, 17)","(0, 0)",20
寿,0,"(414, 218)","(17, 17)","(16, 17)","(0, 0)",20
封,0,"(432, 218)","(17, 17)","(16, 17)","(0, 0)",20
小,0,"(450, 218)","(17, 17)","(16, 17)","(0, 0)",20
少,0,"(468, 218)","(17, 17)","(16, 17)","(0, 0)",20
尔,0,"(486, 218)","(17, 17)","(16, 17)","(0, 0)",20
尸,0,"(0, 236)","(17, 17)","(16, 17)","(0, 0)",20
尼,0,"(18, 236)","(17, 17)","(16, 17)","(0, 0)",20
屏,0,"(36, 236)","(17, 17)","(16, 17)","(0, 0)",20
