char,tex,pos,size,pos_off,pos_add,offset
 ,0,"(0, 0)","(3, 3)","(6, 17)","(0, 13)",20
(,0,"(4, 0)","(7, 18)","(6, 17)","(0, 0)",20
),0,"(12, 0)","(7, 18)","(6, 17)","(0, 0)",20
/,0,"(20, 0)","(7, 18)","(6, 17)","(0, 0)",20
0,0,"(28, 0)","(12, 13)","(11, 17)","(0, 2)",20
1,0,"(41, 0)","(8, 13)","(11, 17)","(2, 2)",20
2,0,"(50, 0)","(11, 13)","(11, 17)","(0, 2)",20
3,0,"(62, 0)","(11, 13)","(11, 17)","(0, 2)",20
4,0,"(74, 0)","(13, 13)","(11, 17)","(0, 2)",20
5,0,"(88, 0)","(11, 13)","(11, 17)","(0, 2)",20
6,0,"(100, 0)","(11, 13)","(11, 17)","(0, 2)",20
7,0,"(112, 0)","(12, 13)","(11, 17)","(0, 2)",20
8,0,"(125, 0)","(11, 13)","(11, 17)","(0, 2)",20
9,0,"(137, 0)","(11, 13)","(11, 17)","(0, 2)",20
:,0,"(149, 0)","(6, 11)","(6, 17)","(0, 4)",20
<,0,"(156, 0)","(7, 9)","(6, 17)","(0, 4)",20
>,0,"(164, 0)","(7, 9)","(6, 17)","(0, 4)",20
?,0,"(172, 0)","(11, 13)","(10, 17)","(0, 2)",20
A,0,"(184, 0)","(13, 13)","(12, 17)","(0, 2)",20
B,0,"(198, 0)","(11, 13)","(10, 17)","(0, 2)",20
C,0,"(210, 0)","(13, 13)","(12, 17)","(0, 2)",20
D,0,"(224, 0)","(12, 13)","(10, 17)","(0, 2)",20
E,0,"(237, 0)","(11, 13)","(10, 17)","(0, 2)",20
F,0,"(249, 0)","(11, 13)","(10, 17)","(0, 2)",20
G,0,"(261, 0)","(17, 17)","(16, 17)","(0, 0)",20
H,0,"(279, 0)","(12, 13)","(10, 17)","(0, 2)",20
I,0,"(292, 0)","(5, 13)","(6, 17)","(0, 2)",20
J,0,"(298, 0)","(17, 17)","(16, 17)","(0, 0)",20
K,0,"(316, 0)","(17, 17)","(16, 17)","(0, 0)",20
L,0,"(334, 0)","(11, 13)","(10, 17)","(0, 2)",20
M,0,"(346, 0)","(13, 13)","(12, 17)","(0, 2)",20
N,0,"(360, 0)","(12, 13)","(11, 17)","(0, 2)",20
O,0,"(373, 0)","(13, 13)","(12, 17)","(0, 2)",20
P,0,"(387, 0)","(11, 13)","(10, 17)","(0, 2)",20
R,0,"(399, 0)","(12, 13)","(11, 17)","(0, 2)",20
S,0,"(412, 0)","(12, 13)","(11, 17)","(0, 2)",20
T,0,"(425, 0)","(13, 13)","(12, 17)","(0, 2)",20
U,0,"(439, 0)","(12, 13)","(11, 17)","(0, 2)",20
V,0,"(452, 0)","(17, 17)","(16, 17)","(0, 0)",20
X,0,"(470, 0)","(17, 17)","(16, 17)","(0, 0)",20
Y,0,"(488, 0)","(13, 13)","(12, 17)","(0, 2)",20
_,0,"(0, 19)","(17, 17)","(16, 17)","(0, 0)",20
a,0,"(18, 19)","(17, 17)","(16, 17)","(0, 0)",20
c,0,"(36, 19)","(17, 17)","(16, 17)","(0, 0)",20
d,0,"(54, 19)","(17, 17)","(16, 17)","(0, 0)",20
e,0,"(72, 19)","(17, 17)","(16, 17)","(0, 0)",20
g,0,"(90, 19)","(17, 17)","(16, 17)","(0, 0)",20
i,0,"(108, 19)","(17, 17)","(16, 17)","(0, 0)",20
l,0,"(126, 19)","(17, 17)","(16, 17)","(0, 0)",20
m,0,"(144, 19)","(17, 17)","(16, 17)","(0, 0)",20
n,0,"(162, 19)","(17, 17)","(16, 17)","(0, 0)",20
s,0,"(180, 19)","(17, 17)","(16, 17)","(0, 0)",20
t,0,"(198, 19)","(17, 17)","(16, 17)","(0, 0)",20
u,0,"(216, 19)","(17, 17)","(16, 17)","(0, 0)",20
v,0,"(234, 19)","(17, 17)","(16, 17)","(0, 0)",20
　,0,"(252, 19)","(3, 3)","(8, 17)","(0, 13)",20
、,0,"(256, 19)","(7, 7)","(8, 17)","(0, 10)",20
。,0,"(264, 19)","(7, 7)","(8, 17)","(0, 10)",20
《,0,"(272, 19)","(10, 18)","(8, 17)","(0, 255)",20
》,0,"(283, 19)","(10, 18)","(8, 17)","(0, 255)",20
「,0,"(294, 19)","(7, 18)","(8, 17)","(2, 0)",20
」,0,"(302, 19)","(7, 18)","(8, 17)","(0, 0)",20
【,0,"(310, 19)","(7, 18)","(8, 17)","(2, 0)",20
】,0,"(318, 19)","(8, 18)","(8, 17)","(0, 0)",20
あ,0,"(327, 19)","(17, 16)","(16, 17)","(0, 1)",20
い,0,"(345, 19)","(16, 15)","(15, 17)","(0, 1)",20
う,0,"(362, 19)","(15, 16)","(14, 17)","(0, 1)",20
え,0,"(378, 19)","(17, 16)","(16, 17)","(0, 1)",20
お,0,"(396, 19)","(17, 16)","(16, 17)","(0, 0)",20
か,0,"(414, 19)","(17, 17)","(16, 17)","(0, 1)",20
が,0,"(432, 19)","(17, 17)","(16, 17)","(0, 0)",20
き,0,"(450, 19)","(16, 16)","(16, 17)","(0, 0)",20
ぎ,0,"(467, 19)","(17, 17)","(16, 17)","(0, 0)",20
く,0,"(485, 19)","(13, 16)","(13, 17)","(0, 0)",20
け,0,"(0, 38)","(17, 16)","(16, 17)","(0, 1)",20
げ,0,"(18, 38)","(17, 17)","(16, 17)","(0, 0)",20
こ,0,"(36, 38)","(15, 15)","(14, 17)","(0, 2)",20
ご,0,"(52, 38)","(16, 15)","(14, 17)","(0, 2)",20
さ,0,"(69, 38)","(17, 16)","(16, 17)","(0, 0)",20
し,0,"(87, 38)","(14, 16)","(13, 17)","(0, 0)",20
じ,0,"(102, 38)","(14, 16)","(13, 17)","(0, 0)",20
す,0,"(117, 38)","(17, 16)","(16, 17)","(0, 1)",20
ず,0,"(135, 38)","(18, 17)","(16, 17)","(0, 0)",20
せ,0,"(154, 38)","(17, 16)","(16, 17)","(0, 1)",20
そ,0,"(172, 38)","(17, 16)","(16, 17)","(0, 1)",20
た,0,"(190, 38)","(17, 16)","(16, 17)","(0, 0)",20
だ,0,"(208, 38)","(17, 17)","(16, 17)","(0, 0)",20
ち,0,"(226, 38)","(17, 16)","(16, 17)","(0, 1)",20
っ,0,"(244, 38)","(15, 12)","(15, 17)","(0, 4)",20
つ,0,"(260, 38)","(17, 13)","(16, 17)","(0, 3)",20
づ,0,"(278, 38)","(17, 16)","(16, 17)","(0, 0)",20
て,0,"(296, 38)","(17, 15)","(16, 17)","(0, 1)",20
で,0,"(314, 38)","(17, 15)","(16, 17)","(0, 2)",20
と,0,"(332, 38)","(14, 16)","(13, 17)","(0, 1)",20
ど,0,"(347, 38)","(15, 17)","(14, 17)","(0, 0)",20
な,0,"(363, 38)","(17, 16)","(16, 17)","(0, 0)",20
に,0,"(381, 38)","(16, 15)","(15, 17)","(0, 2)",20
ね,0,"(398, 38)","(17, 16)","(16, 17)","(0, 0)",20
の,0,"(416, 38)","(17, 15)","(16, 17)","(0, 1)",20
は,0,"(434, 38)","(17, 15)","(16, 17)","(0, 2)",20
ば,0,"(452, 38)","(17, 17)","(16, 17)","(0, 0)",20
ぱ,0,"(470, 38)","(17, 17)","(16, 17)","(0, 0)",20
ふ,0,"(488, 38)","(17, 15)","(16, 17)","(0, 2)",20
ぶ,0,"(0, 56)","(17, 15)","(16, 17)","(0, 2)",20
へ,0,"(18, 56)","(17, 12)","(16, 17)","(0, 3)",20
べ,0,"(36, 56)","(17, 14)","(16, 17)","(0, 2)",20
ほ,0,"(54, 56)","(17, 15)","(16, 17)","(0, 2)",20
ま,0,"(72, 56)","(16, 16)","(16, 17)","(0, 0)",20
み,0,"(89, 56)","(17, 15)","(16, 17)","(0, 2)",20
む,0,"(107, 56)","(17, 16)","(16, 17)","(0, 1)",20
め,0,"(125, 56)","(17, 16)","(16, 17)","(0, 1)",20
も,0,"(143, 56)","(17, 16)","(16, 17)","(0, 0)",20
ゅ,0,"(161, 56)","(15, 14)","(14, 17)","(0, 3)",20
ゆ,0,"(177, 56)","(17, 16)","(16, 17)","(0, 1)",20
ょ,0,"(195, 56)","(14, 14)","(14, 17)","(0, 3)",20
よ,0,"(210, 56)","(16, 16)","(16, 17)","(0, 1)",20
ら,0,"(227, 56)","(14, 16)","(14, 17)","(0, 1)",20
り,0,"(242, 56)","(14, 16)","(14, 17)","(0, 0)",20
る,0,"(257, 56)","(16, 15)","(16, 17)","(0, 2)",20
れ,0,"(274, 56)","(17, 16)","(16, 17)","(0, 0)",20
ろ,0,"(292, 56)","(16, 16)","(15, 17)","(0, 1)",20
わ,0,"(309, 56)","(17, 16)","(16, 17)","(0, 1)",20
を,0,"(327, 56)","(16, 16)","(16, 17)","(0, 0)",20
ん,0,"(344, 56)","(17, 16)","(16, 17)","(0, 1)",20
ァ,0,"(362, 56)","(15, 13)","(14, 17)","(0, 4)",20
ア,0,"(378, 56)","(17, 15)","(16, 17)","(0, 1)",20
ィ,0,"(396, 56)","(15, 14)","(14, 17)","(0, 3)",20
イ,0,"(412, 56)","(15, 16)","(14, 17)","(0, 1)",20
ウ,0,"(428, 56)","(16, 16)","(15, 17)","(0, 1)",20
ェ,0,"(445, 56)","(14, 12)","(14, 17)","(0, 4)",20
エ,0,"(460, 56)","(16, 14)","(16, 17)","(0, 2)",20
ォ,0,"(477, 56)","(15, 14)","(15, 17)","(0, 2)",20
オ,0,"(493, 56)","(17, 16)","(16, 17)","(0, 0)",20
カ,0,"(0, 73)","(15, 16)","(15, 17)","(0, 0)",20
ガ,0,"(16, 73)","(17, 17)","(16, 17)","(0, 255)",20
キ,0,"(34, 73)","(16, 17)","(15, 17)","(0, 1)",20
ギ,0,"(51, 73)","(17, 18)","(16, 17)","(0, 255)",20
ク,0,"(69, 73)","(16, 16)","(15, 17)","(0, 0)",20
グ,0,"(86, 73)","(17, 17)","(16, 17)","(0, 0)",20
ケ,0,"(104, 73)","(16, 16)","(15, 17)","(0, 0)",20
ゲ,0,"(121, 73)","(17, 17)","(16, 17)","(0, 0)",20
コ,0,"(139, 73)","(16, 13)","(15, 17)","(0, 3)",20
ゴ,0,"(156, 73)","(17, 16)","(16, 17)","(0, 0)",20
サ,0,"(174, 73)","(17, 15)","(16, 17)","(0, 1)",20
ザ,0,"(192, 73)","(18, 17)","(16, 17)","(0, 0)",20
シ,0,"(211, 73)","(17, 16)","(16, 17)","(0, 0)",20
ジ,0,"(229, 73)","(17, 17)","(16, 17)","(0, 0)",20
ス,0,"(247, 73)","(17, 16)","(16, 17)","(0, 1)",20
ズ,0,"(265, 73)","(18, 16)","(16, 17)","(0, 1)",20
セ,0,"(284, 73)","(16, 15)","(16, 17)","(0, 1)",20
ゼ,0,"(301, 73)","(17, 17)","(16, 17)","(0, 0)",20
ソ,0,"(319, 73)","(16, 16)","(15, 17)","(0, 1)",20
タ,0,"(336, 73)","(16, 17)","(15, 17)","(0, 0)",20
ダ,0,"(353, 73)","(17, 18)","(16, 17)","(0, 0)",20
チ,0,"(371, 73)","(17, 17)","(16, 17)","(0, 1)",20
ッ,0,"(389, 73)","(15, 13)","(14, 17)","(0, 3)",20
ツ,0,"(405, 73)","(17, 16)","(16, 17)","(0, 0)",20
テ,0,"(423, 73)","(16, 16)","(16, 17)","(0, 1)",20
デ,0,"(440, 73)","(17, 17)","(16, 17)","(0, 0)",20
ト,0,"(458, 73)","(14, 16)","(15, 17)","(1, 0)",20
ド,0,"(473, 73)","(14, 16)","(15, 17)","(1, 0)",20
ナ,0,"(488, 73)","(17, 16)","(16, 17)","(0, 0)",20
ニ,0,"(0, 92)","(17, 13)","(16, 17)","(0, 2)",20
ネ,0,"(18, 92)","(17, 16)","(16, 17)","(0, 0)",20
ノ,0,"(36, 92)","(15, 15)","(14, 17)","(0, 1)",20
ハ,0,"(52, 92)","(17, 15)","(16, 17)","(0, 2)",20
バ,0,"(70, 92)","(17, 17)","(16, 17)","(0, 0)",20
パ,0,"(88, 92)","(17, 16)","(16, 17)","(0, 1)",20
ビ,0,"(106, 92)","(16, 17)","(15, 17)","(1, 0)",20
フ,0,"(123, 92)","(15, 14)","(14, 17)","(0, 2)",20
ブ,0,"(139, 92)","(17, 17)","(15, 17)","(0, 255)",20
プ,0,"(157, 92)","(17, 17)","(15, 17)","(0, 255)",20
ヘ,0,"(175, 92)","(17, 11)","(16, 17)","(0, 4)",20
ベ,0,"(193, 92)","(17, 14)","(16, 17)","(0, 2)",20
ペ,0,"(211, 92)","(17, 14)","(16, 17)","(0, 1)",20
ホ,0,"(229, 92)","(17, 16)","(16, 17)","(0, 1)",20
ボ,0,"(247, 92)","(18, 17)","(16, 17)","(0, 0)",20
ポ,0,"(266, 92)","(17, 17)","(16, 17)","(0, 255)",20
マ,0,"(284, 92)","(17, 15)","(16, 17)","(0, 2)",20
ミ,0,"(302, 92)","(15, 14)","(15, 17)","(0, 1)",20
ム,0,"(318, 92)","(16, 15)","(16, 17)","(0, 1)",20
メ,0,"(335, 92)","(15, 16)","(14, 17)","(0, 1)",20
モ,0,"(351, 92)","(16, 15)","(16, 17)","(0, 1)",20
ャ,0,"(368, 92)","(15, 14)","(14, 17)","(0, 2)",20
ヤ,0,"(384, 92)","(16, 16)","(16, 17)","(0, 1)",20
ュ,0,"(401, 92)","(14, 11)","(14, 17)","(0, 5)",20
ョ,0,"(416, 92)","(14, 13)","(13, 17)","(0, 3)",20
ラ,0,"(431, 92)","(16, 17)","(15, 17)","(0, 0)",20
リ,0,"(448, 92)","(13, 17)","(13, 17)","(0, 1)",20
ル,0,"(462, 92)","(17, 17)","(16, 17)","(0, 1)",20
レ,0,"(480, 92)","(15, 16)","(15, 17)","(1, 0)",20
ロ,0,"(0, 110)","(16, 15)","(15, 17)","(0, 1)",20
ワ,0,"(17, 110)","(16, 16)","(15, 17)","(0, 2)",20
