char,tex,pos,size,pos_off,pos_add,offset
ポ,0,"(231, 42)","(14, 13)","(12, 18)","(0, 3)",20
マ,0,"(0, 56)","(13, 11)","(12, 18)","(0, 4)",20
ミ,0,"(13, 56)","(12, 12)","(12, 18)","(1, 4)",20
ム,0,"(25, 56)","(13, 12)","(12, 18)","(0, 3)",20
メ,0,"(38, 56)","(12, 13)","(12, 18)","(0, 4)",20
モ,0,"(50, 56)","(13, 12)","(12, 18)","(0, 4)",20
ャ,0,"(63, 56)","(10, 11)","(12, 18)","(1, 5)",20
ヤ,0,"(73, 56)","(13, 13)","(12, 18)","(0, 3)",20
ュ,0,"(86, 56)","(11, 9)","(12, 18)","(1, 7)",20
ユ,0,"(97, 56)","(13, 11)","(12, 18)","(0, 5)",20
ョ,0,"(110, 56)","(10, 10)","(12, 18)","(2, 6)",20
ヨ,0,"(120, 56)","(12, 12)","(12, 18)","(1, 4)",20
ラ,0,"(132, 56)","(12, 12)","(12, 18)","(1, 4)",20
リ,0,"(144, 56)","(10, 12)","(12, 18)","(2, 3)",20
ル,0,"(154, 56)","(14, 12)","(12, 18)","(0, 3)",20
レ,0,"(168, 56)","(12, 12)","(12, 18)","(2, 3)",20
ロ,0,"(180, 56)","(12, 12)","(12, 18)","(1, 4)",20
ワ,0,"(192, 56)","(12, 12)","(12, 18)","(1, 4)",20
ヲ,0,"(204, 56)","(11, 12)","(12, 18)","(1, 4)",20
ン,0,"(215, 56)","(12, 12)","(12, 18)","(1, 4)",20
ヴ,0,"(227, 56)","(13, 14)","(12, 18)","(0, 2)",20
・,0,"(240, 56)","(5, 5)","(12, 18)","(4, 7)",20
ー,0,"(0, 70)","(12, 4)","(12, 18)","(1, 8)",20
三,0,"(12, 70)","(14, 14)","(12, 18)","(0, 2)",20
丝,0,"(26, 70)","(14, 14)","(12, 18)","(0, 2)",20
丽,0,"(40, 70)","(14, 14)","(12, 18)","(0, 2)",20
义,0,"(54, 70)","(14, 14)","(12, 18)","(0, 2)",20
亚,0,"(68, 70)","(14, 14)","(12, 18)","(0, 2)",20
人,0,"(82, 70)","(14, 14)","(12, 18)","(0, 2)",20
仆,0,"(96, 70)","(14, 14)","(12, 18)","(0, 2)",20
从,0,"(110, 70)","(14, 14)","(12, 18)","(0, 2)",20
伊,0,"(124, 70)","(14, 14)","(12, 18)","(0, 2)",20
作,0,"(138, 70)","(14, 14)","(12, 18)","(0, 2)",20
佩,0,"(152, 70)","(14, 14)","(12, 18)","(0, 2)",20
克,0,"(166, 70)","(14, 14)","(12, 18)","(0, 2)",20
兹,0,"(180, 70)","(14, 14)","(12, 18)","(0, 2)",20
内,0,"(194, 70)","(14, 14)","(12, 18)","(0, 2)",20
凯,0,"(208, 70)","(14, 14)","(12, 18)","(0, 2)",20
出,0,"(222, 70)","(14, 14)","(12, 18)","(0, 2)",20
刑,0,"(236, 70)","(14, 14)","(12, 18)","(0, 2)",20
利,0,"(0, 84)","(14, 14)","(12, 18)","(0, 2)",20
剧,0,"(14, 84)","(14, 14)","(12, 18)","(0, 2)",20
加,0,"(28, 84)","(14, 14)","(12, 18)","(0, 2)",20
务,0,"(42, 84)","(14, 14)","(12, 18)","(0, 2)",20
动,0,"(56, 84)","(14, 14)","(12, 18)","(0, 2)",20
华,0,"(70, 84)","(14, 14)","(12, 18)","(0, 2)",20
双,0,"(84, 84)","(14, 14)","(12, 18)","(0, 2)",20
可,0,"(98, 84)","(14, 14)","(12, 18)","(0, 2)",20
叶,0,"(112, 84)","(14, 14)","(12, 18)","(0, 2)",20
号,0,"(126, 84)","(14, 14)","(12, 18)","(0, 2)",20
吉,0,"(140, 84)","(14, 14)","(12, 18)","(0, 2)",20
吾,0,"(154, 84)","(14, 14)","(12, 18)","(0, 2)",20
员,0,"(168, 84)","(14, 14)","(12, 18)","(0, 2)",20
哈,0,"(182, 84)","(14, 14)","(12, 18)","(0, 2)",20
坦,0,"(196, 84)","(14, 14)","(12, 18)","(0, 2)",20
基,0,"(210, 84)","(14, 14)","(12, 18)","(0, 2)",20
堂,0,"(224, 84)","(14, 14)","(12, 18)","(0, 2)",20
塔,0,"(238, 84)","(14, 14)","(12, 18)","(0, 2)",20
多,0,"(0, 98)","(14, 14)","(12, 18)","(0, 2)",20
夫,0,"(14, 98)","(14, 14)","(12, 18)","(0, 2)",20
奇,0,"(28, 98)","(14, 14)","(12, 18)","(0, 2)",20
奈,0,"(42, 98)","(14, 14)","(12, 18)","(0, 2)",20
女,0,"(56, 98)","(14, 14)","(12, 18)","(0, 2)",20
妮,0,"(70, 98)","(14, 14)","(12, 18)","(0, 2)",20
娜,0,"(84, 98)","(14, 14)","(12, 18)","(0, 2)",20
安,0,"(98, 98)","(14, 14)","(12, 18)","(0, 2)",20
官,0,"(112, 98)","(14, 14)","(12, 18)","(0, 2)",20
寿,0,"(126, 98)","(14, 14)","(12, 18)","(0, 2)",20
少,0,"(140, 98)","(14, 14)","(12, 18)","(0, 2)",20
尔,0,"(154, 98)","(14, 14)","(12, 18)","(0, 2)",20
巡,0,"(168, 98)","(14, 14)","(12, 18)","(0, 2)",20
巴,0,"(182, 98)","(14, 14)","(12, 18)","(0, 2)",20
布,0,"(196, 98)","(14, 14)","(12, 18)","(0, 2)",20
御,0,"(210, 98)","(14, 14)","(12, 18)","(0, 2)",20
德,0,"(224, 98)","(14, 14)","(12, 18)","(0, 2)",20
恩,0,"(238, 98)","(14, 14)","(12, 18)","(0, 2)",20
情,0,"(0, 112)","(14, 14)","(12, 18)","(0, 2)",20
慈,0,"(14, 112)","(14, 14)","(12, 18)","(0, 2)",20
成,0,"(28, 112)","(14, 14)","(12, 18)","(0, 2)",20
托,0,"(42, 112)","(14, 14)","(12, 18)","(0, 2)",20
授,0,"(56, 112)","(14, 14)","(12, 18)","(0, 2)",20
摩,0,"(70, 112)","(14, 14)","(12, 18)","(0, 2)",20
操,0,"(84, 112)","(14, 14)","(12, 18)","(0, 2)",20
教,0,"(98, 112)","(14, 14)","(12, 18)","(0, 2)",20
斯,0,"(112, 112)","(14, 14)","(12, 18)","(0, 2)",20
明,0,"(126, 112)","(14, 14)","(12, 18)","(0, 2)",20
普,0,"(140, 112)","(14, 14)","(12, 18)","(0, 2)",20
曼,0,"(154, 112)","(14, 14)","(12, 18)","(0, 2)",20
服,0,"(168, 112)","(14, 14)","(12, 18)","(0, 2)",20
根,0,"(182, 112)","(14, 14)","(12, 18)","(0, 2)",20
格,0,"(196, 112)","(14, 14)","(12, 18)","(0, 2)",20
梅,0,"(210, 112)","(14, 14)","(12, 18)","(0, 2)",20
森,0,"(224, 112)","(14, 14)","(12, 18)","(0, 2)",20
步,0,"(238, 112)","(14, 14)","(12, 18)","(0, 2)",20
比,0,"(0, 126)","(14, 14)","(12, 18)","(0, 2)",20
沃,0,"(14, 126)","(14, 14)","(12, 18)","(0, 2)",20
沙,0,"(28, 126)","(14, 14)","(12, 18)","(0, 2)",20
治,0,"(42, 126)","(14, 14)","(12, 18)","(0, 2)",20
法,0,"(56, 126)","(14, 14)","(12, 18)","(0, 2)",20
波,0,"(70, 126)","(14, 14)","(12, 18)","(0, 2)",20
泽,0,"(84, 126)","(14, 14)","(12, 18)","(0, 2)",20
洁,0,"(98, 126)","(14, 14)","(12, 18)","(0, 2)",20
演,0,"(112, 126)","(14, 14)","(12, 18)","(0, 2)",20
漱,0,"(126, 126)","(14, 14)","(12, 18)","(0, 2)",20
爱,0,"(140, 126)","(14, 14)","(12, 18)","(0, 2)",20
特,0,"(154, 126)","(14, 14)","(12, 18)","(0, 2)",20
狱,0,"(168, 126)","(14, 14)","(12, 18)","(0, 2)",20
玄,0,"(182, 126)","(14, 14)","(12, 18)","(0, 2)",20
王,0,"(196, 126)","(14, 14)","(12, 18)","(0, 2)",20
玛,0,"(210, 126)","(14, 14)","(12, 18)","(0, 2)",20
珀,0,"(224, 126)","(14, 14)","(12, 18)","(0, 2)",20
班,0,"(238, 126)","(14, 14)","(12, 18)","(0, 2)",20
琴,0,"(0, 140)","(14, 14)","(12, 18)","(0, 2)",20
生,0,"(14, 140)","(14, 14)","(12, 18)","(0, 2)",20
真,0,"(28, 140)","(14, 14)","(12, 18)","(0, 2)",20
石,0,"(42, 140)","(14, 14)","(12, 18)","(0, 2)",20
福,0,"(56, 140)","(14, 14)","(12, 18)","(0, 2)",20
简,0,"(70, 140)","(14, 14)","(12, 18)","(0, 2)",20
米,0,"(84, 140)","(14, 14)","(12, 18)","(0, 2)",20
籾,0,"(98, 140)","(14, 14)","(12, 18)","(0, 2)",20
系,0,"(112, 140)","(14, 14)","(12, 18)","(0, 2)",20
约,0,"(126, 140)","(14, 14)","(12, 18)","(0, 2)",20
纳,0,"(140, 140)","(14, 14)","(12, 18)","(0, 2)",20
细,0,"(154, 140)","(14, 14)","(12, 18)","(0, 2)",20
织,0,"(168, 140)","(14, 14)","(12, 18)","(0, 2)",20
统,0,"(182, 140)","(14, 14)","(12, 18)","(0, 2)",20
维,0,"(196, 140)","(14, 14)","(12, 18)","(0, 2)",20
罗,0,"(210, 140)","(14, 14)","(12, 18)","(0, 2)",20
美,0,"(224, 140)","(14, 14)","(12, 18)","(0, 2)",20
羽,0,"(238, 140)","(14, 14)","(12, 18)","(0, 2)",20
老,0,"(0, 154)","(14, 14)","(12, 18)","(0, 2)",20
船,0,"(14, 154)","(14, 14)","(12, 18)","(0, 2)",20
莉,0,"(28, 154)","(14, 14)","(12, 18)","(0, 2)",20
莎,0,"(42, 154)","(14, 14)","(12, 18)","(0, 2)",20
菲,0,"(56, 154)","(14, 14)","(12, 18)","(0, 2)",20
蒙,0,"(70, 154)","(14, 14)","(12, 18)","(0, 2)",20
西,0,"(84, 154)","(14, 14)","(12, 18)","(0, 2)",20
警,0,"(98, 154)","(14, 14)","(12, 18)","(0, 2)",20
话,0,"(112, 154)","(14, 14)","(12, 18)","(0, 2)",20
豆,0,"(126, 154)","(14, 14)","(12, 18)","(0, 2)",20
贝,0,"(140, 154)","(14, 14)","(12, 18)","(0, 2)",20
辈,0,"(154, 154)","(14, 14)","(12, 18)","(0, 2)",20
达,0,"(168, 154)","(14, 14)","(12, 18)","(0, 2)",20
迪,0,"(182, 154)","(14, 14)","(12, 18)","(0, 2)",20
部,0,"(196, 154)","(14, 14)","(12, 18)","(0, 2)",20
都,0,"(210, 154)","(14, 14)","(12, 18)","(0, 2)",20
里,0,"(224, 154)","(14, 14)","(12, 18)","(0, 2)",20
长,0,"(238, 154)","(14, 14)","(12, 18)","(0, 2)",20
闲,0,"(0, 168)","(14, 14)","(12, 18)","(0, 2)",20
阿,0,"(14, 168)","(14, 14)","(12, 18)","(0, 2)",20
随,0,"(28, 168)","(14, 14)","(12, 18)","(0, 2)",20
雷,0,"(42, 168)","(14, 14)","(12, 18)","(0, 2)",20
鼠,0,"(56, 168)","(14, 14)","(12, 18)","(0, 2)",20
０,0,"(70, 168)","(10, 13)","(12, 18)","(1, 3)",20
１,0,"(80, 168)","(7, 12)","(12, 18)","(2, 3)",20
２,0,"(87, 168)","(9, 12)","(12, 18)","(2, 3)",20
３,0,"(96, 168)","(10, 13)","(12, 18)","(2, 3)",20
４,0,"(106, 168)","(10, 13)","(12, 18)","(1, 3)",20
５,0,"(116, 168)","(9, 13)","(12, 18)","(2, 3)",20
６,0,"(125, 168)","(10, 13)","(12, 18)","(2, 3)",20
７,0,"(135, 168)","(10, 13)","(12, 18)","(2, 3)",20
８,0,"(145, 168)","(10, 13)","(12, 18)","(2, 3)",20
９,0,"(155, 168)","(10, 13)","(12, 18)","(2, 3)",20
？,0,"(165, 168)","(9, 13)","(12, 18)","(2, 3)",20
Ａ,0,"(174, 168)","(12, 12)","(12, 18)","(1, 3)",20
Ｂ,0,"(186, 168)","(11, 12)","(12, 18)","(1, 4)",20
Ｃ,0,"(197, 168)","(11, 13)","(12, 18)","(1, 3)",20
Ｄ,0,"(208, 168)","(11, 12)","(12, 18)","(1, 4)",20
Ｅ,0,"(219, 168)","(10, 13)","(12, 18)","(2, 3)",20
Ｆ,0,"(229, 168)","(10, 12)","(12, 18)","(2, 3)",20
Ｇ,0,"(239, 168)","(11, 13)","(12, 18)","(1, 3)",20
Ｈ,0,"(0, 182)","(11, 12)","(12, 18)","(1, 3)",20
Ｉ,0,"(11, 182)","(5, 12)","(12, 18)","(4, 3)",20
Ｊ,0,"(16, 182)","(8, 13)","(12, 18)","(2, 3)",20
Ｋ,0,"(24, 182)","(11, 12)","(12, 18)","(2, 3)",20
Ｌ,0,"(35, 182)","(10, 13)","(12, 18)","(2, 3)",20
Ｍ,0,"(45, 182)","(13, 12)","(12, 18)","(0, 3)",20
Ｎ,0,"(58, 182)","(11, 12)","(12, 18)","(1, 3)",20
Ｏ,0,"(69, 182)","(12, 13)","(12, 18)","(0, 3)",20
Ｐ,0,"(81, 182)","(11, 12)","(12, 18)","(2, 4)",20
Ｑ,0,"(92, 182)","(13, 13)","(12, 18)","(0, 3)",20
Ｒ,0,"(105, 182)","(11, 13)","(12, 18)","(2, 4)",20
Ｓ,0,"(116, 182)","(10, 13)","(12, 18)","(2, 3)",20
Ｔ,0,"(126, 182)","(11, 13)","(12, 18)","(1, 3)",20
Ｕ,0,"(137, 182)","(11, 13)","(12, 18)","(1, 3)",20
Ｖ,0,"(148, 182)","(12, 12)","(12, 18)","(1, 3)",20
Ｗ,0,"(160, 182)","(14, 13)","(12, 18)","(0, 3)",20
Ｘ,0,"(174, 182)","(12, 13)","(12, 18)","(1, 3)",20
Ｙ,0,"(186, 182)","(12, 13)","(12, 18)","(1, 3)",20
Ｚ,0,"(198, 182)","(10, 12)","(12, 18)","(1, 3)",20
